stage12_run_id,cell_id,checkpoint_step,distinctness_cutoff,status,stopping_reason,family_size,family_target,right_censored,exact_evaluations_used,per_cell_budget,budget_remaining,restart_outcome_count,pseudo_target_sha256,full_model_reference_sha256,raw_cell_directory
stage12-diversity-s1-020ebf1b5814,cutoff-0.50,9050,0.5,budget_exhaustion,requested_member_8_budget_exhaustion,7,10,False,50000,50000,0,8,bd37aa2f1d298f51ca5823f5b6d783a6eea1878dc85f159dc3d029025ab50ee1,c35b24a1c066ea92abc1f17a6dd3264275ec33713e4e2d7fe091d705cd91ef9d,stage12-diversity-s1-020ebf1b5814/cutoff-0.50
stage12-diversity-s1-020ebf1b5814,cutoff-0.25,9050,0.25,budget_exhaustion,requested_member_4_budget_exhaustion,3,10,False,28292,50000,21708,5,bd37aa2f1d298f51ca5823f5b6d783a6eea1878dc85f159dc3d029025ab50ee1,c35b24a1c066ea92abc1f17a6dd3264275ec33713e4e2d7fe091d705cd91ef9d,stage12-diversity-s1-020ebf1b5814/cutoff-0.25
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,budget_exhaustion,requested_member_8_budget_exhaustion,7,10,False,50000,50000,0,8,bd37aa2f1d298f51ca5823f5b6d783a6eea1878dc85f159dc3d029025ab50ee1,c35b24a1c066ea92abc1f17a6dd3264275ec33713e4e2d7fe091d705cd91ef9d,stage12-diversity-s1-020ebf1b5814/cutoff-0.75
