stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,side,cell_id,circuit_id,mask_sha256,fidelity,retained_components,unmatched_reason
stage18-scaling-24a9adb84176,s0-step200-to-step8650,matched_sparsity,0,200,8650,right,s0-step8650-f99of100-d1of2,C6,71d6c8c7a796549823046b659d48c1ab7c7480b3b10c3fb210f9026c6196a84e,0.9900540371211528,79,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C4,499056b209954152042999f604393a5f628e93fcc478f163eddf8ad7431d27f7,0.9902106664578275,73,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C5,f24220aa68d57be9167c659ec9c7ae726a64634226299ab6fa14339f320f2b59,0.9906022397995145,70,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C6,dcafe8ced9cc385d39068b508614794e786e805f0399b9f4f15216758da5a3c1,0.9906805544678519,67,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C3,3f086cd8f9776912cb317bb9ea73b14f5922f8922770a3c34b0c0943163125c8,0.9911504424778761,72,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C1,7107a3d3213f35fc69d2fecd3b465292179debc67c6ed36d3f94f81d3a8cc25b,0.9913070718145509,84,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_fidelity,0,200,9050,right,s0-step9050-f99of100-d1of2,C2,2866ab28d9975590ec96dde6ddbdbcce8ab259b6e016288b7d31783ff1be3083,0.9917769598245751,66,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C2,2866ab28d9975590ec96dde6ddbdbcce8ab259b6e016288b7d31783ff1be3083,0.9917769598245751,66,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C6,dcafe8ced9cc385d39068b508614794e786e805f0399b9f4f15216758da5a3c1,0.9906805544678519,67,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C5,f24220aa68d57be9167c659ec9c7ae726a64634226299ab6fa14339f320f2b59,0.9906022397995145,70,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C3,3f086cd8f9776912cb317bb9ea73b14f5922f8922770a3c34b0c0943163125c8,0.9911504424778761,72,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C4,499056b209954152042999f604393a5f628e93fcc478f163eddf8ad7431d27f7,0.9902106664578275,73,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step200-to-step9050,matched_sparsity,0,200,9050,right,s0-step9050-f99of100-d1of2,C1,7107a3d3213f35fc69d2fecd3b465292179debc67c6ed36d3f94f81d3a8cc25b,0.9913070718145509,84,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C7,d87ea6a76222491bf77c87cc5f5cb557ae17545e8d0b802c36e69acdc1d8f8a2,0.9900540371211528,85,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C1,0bffd1ae616da263a22a63fbd7bdd963d33067e2af8afddd83e3ba06fde7375b,0.9901323517894902,77,empty_opposing_family
