stage16_run_id,circuit_i,circuit_j,circuit_i_profile_json,circuit_j_profile_json,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,structural_jaccard_overlap,structural_jaccard_distance,same_group_at_0_025,same_group_at_0_050,same_group_at_0_100
stage16-transfer-s1-cc55bd4162c8,C1,C2,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]",0.002462296091104932,0.00031328320802004317,0.00031328320802004317,0.0025510204081632404,0.0025510204081632404,Q4,0.0657439446366782,0.9342560553633218,True,True,True
stage16-transfer-s1-cc55bd4162c8,C1,C3,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]",0.004616805170821747,0.002192982456140302,0.0015664160401002158,0.0006377551020408934,0.004616805170821747,Q1,0.20149253731343283,0.7985074626865671,True,True,True
stage16-transfer-s1-cc55bd4162c8,C1,C4,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]",0.0033856571252692813,0.0012531328320801727,0.0006265664160400863,0.0015943877551020114,0.0033856571252692813,Q1,0.26229508196721313,0.7377049180327869,True,True,True
stage16-transfer-s1-cc55bd4162c8,C1,C5,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]",0.004001231148045514,0.0015664160401003269,0.0012531328320801727,0.00701530612244905,0.00701530612244905,Q4,0.23484848484848486,0.7651515151515151,True,True,True
stage16-transfer-s1-cc55bd4162c8,C1,C6,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]",0.004616805170821747,0.0006265664160400863,0.00031328320802004317,0.005739795918367374,0.005739795918367374,Q4,0.3092369477911647,0.6907630522088354,True,True,True
stage16-transfer-s1-cc55bd4162c8,C1,C7,"[0.9886118805786396,0.9915413533834586,0.9909147869674185,0.9891581632653061]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.0021545090797168154,0.00031328320802004317,0.00031328320802004317,0.001913265306122458,0.0021545090797168154,Q1,0.27530364372469635,0.7246963562753036,True,True,True
stage16-transfer-s1-cc55bd4162c8,C2,C3,"[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]","[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]",0.0021545090797168154,0.0025062656641603454,0.0012531328320801727,0.001913265306122347,0.0025062656641603454,Q2,0.1118421052631579,0.8881578947368421,True,True,True
stage16-transfer-s1-cc55bd4162c8,C2,C4,"[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]","[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]",0.0009233610341643494,0.0015664160401002158,0.00031328320802004317,0.000956632653061229,0.0015664160401002158,Q2,0.22264150943396227,0.7773584905660378,True,True,True
stage16-transfer-s1-cc55bd4162c8,C2,C5,"[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]","[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]",0.0015389350569405824,0.0012531328320802837,0.0015664160401002158,0.0044642857142858094,0.0044642857142858094,Q4,0.24817518248175183,0.7518248175182481,True,True,True
stage16-transfer-s1-cc55bd4162c8,C2,C6,"[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]","[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]",0.0021545090797168154,0.00031328320802004317,0.0006265664160400863,0.0031887755102041337,0.0031887755102041337,Q4,0.22580645161290322,0.7741935483870968,True,True,True
