run_id,mode,training_step,learning_rate,weight_norm,gradient_norm,train_loss,test_loss,train_accuracy,test_accuracy
modular-addition-training-s1-5f1bc9dee7ab,full,0,0.001,33.67799377441406,,4.737597942352295,4.734666347503662,0.010182767175137997,0.009061416611075401
modular-addition-training-s1-5f1bc9dee7ab,full,50,0.001,36.97232437133789,0.06394950300455093,4.305412769317627,5.38770866394043,0.0702349841594696,0.0055934670381248
modular-addition-training-s1-5f1bc9dee7ab,full,100,0.001,45.490989685058594,0.18666020035743713,2.957918643951416,7.142282009124756,0.3156657814979553,0.01219375804066658
modular-addition-training-s1-5f1bc9dee7ab,full,150,0.001,54.498836517333984,0.31329959630966187,0.5400474071502686,12.309722900390625,0.9336814880371094,0.03702875226736069
modular-addition-training-s1-5f1bc9dee7ab,full,200,0.001,58.060546875,0.023153001442551613,0.02843901701271534,18.2559814453125,1.0,0.0485512912273407
modular-addition-training-s1-5f1bc9dee7ab,full,250,0.001,58.002323150634766,0.015346961095929146,0.015515230596065521,18.518112182617188,1.0,0.05302606523036957
modular-addition-training-s1-5f1bc9dee7ab,full,300,0.001,58.029052734375,0.008514927700161934,0.008989272639155388,18.883195877075195,1.0,0.05559905990958214
modular-addition-training-s1-5f1bc9dee7ab,full,350,0.001,58.142398834228516,0.010293068364262581,0.005069314036518335,19.402206420898438,1.0,0.058619532734155655
modular-addition-training-s1-5f1bc9dee7ab,full,400,0.001,58.274356842041016,0.0036700712516903877,0.0028886788059026003,19.936431884765625,1.0,0.06074504926800728
modular-addition-training-s1-5f1bc9dee7ab,full,450,0.001,58.42760467529297,0.0031406800262629986,0.0016586086712777615,20.495534896850586,1.0,0.06253495812416077
modular-addition-training-s1-5f1bc9dee7ab,full,500,0.001,58.597232818603516,0.0016656542429700494,0.0009571431437507272,21.08034324645996,1.0,0.06488421559333801
modular-addition-training-s1-5f1bc9dee7ab,full,550,0.001,58.775047302246094,0.0008589838980697095,0.0005545935709960759,21.678627014160156,1.0,0.06700973212718964
modular-addition-training-s1-5f1bc9dee7ab,full,600,0.001,58.956478118896484,0.0007762759923934937,0.00032235440448857844,22.284080505371094,1.0,0.06790468841791153
modular-addition-training-s1-5f1bc9dee7ab,full,650,0.001,59.13031768798828,0.000366830121492967,0.00018826786254066974,22.891618728637695,1.0,0.07058954983949661
modular-addition-training-s1-5f1bc9dee7ab,full,700,0.001,59.29357147216797,0.00016625608259346336,0.00011025664571207017,23.507051467895508,1.0,0.0714845061302185
modular-addition-training-s1-5f1bc9dee7ab,full,750,0.001,59.436668395996094,0.0001351251412415877,6.481989839812741e-05,24.115901947021484,1.0,0.07349815219640732
modular-addition-training-s1-5f1bc9dee7ab,full,800,0.001,59.55267333984375,7.513462333008647e-05,3.8266851333901286e-05,24.717500686645508,1.0,0.07584740966558456
modular-addition-training-s1-5f1bc9dee7ab,full,850,0.001,59.633026123046875,5.132663864060305e-05,2.272618621645961e-05,25.314584732055664,1.0,0.07663049548864365
modular-addition-training-s1-5f1bc9dee7ab,full,900,0.001,59.67301559448242,2.528248296584934e-05,1.3594358279078733e-05,25.9020938873291,1.0,0.07797292619943619
