stage14_run_id,training_step,train_accuracy,test_accuracy,train_cross_entropy,test_cross_entropy,gradient_norm
stage14-random-label-training-s0-df790c07a988,0,0.008616187609732151,0.0074952454306185246,4.733920574188232,4.7345380783081055,
stage14-random-label-training-s0-df790c07a988,50,0.0718015655875206,0.0074952454306185246,4.144359588623047,5.272328853607178,0.08469881862401962
stage14-random-label-training-s0-df790c07a988,100,0.22845953702926636,0.009173285216093063,3.074963331222534,6.6912055015563965,0.17249734699726105
stage14-random-label-training-s0-df790c07a988,150,0.7485639452934265,0.008837677538394928,1.1738587617874146,10.733492851257324,0.43527525663375854
stage14-random-label-training-s0-df790c07a988,200,1.0,0.008613938465714455,0.09218858182430267,18.419525146484375,0.0685262456536293
stage14-random-label-training-s0-df790c07a988,250,1.0,0.008837677538394928,0.024928217753767967,20.910755157470703,0.02933616377413273
stage14-random-label-training-s0-df790c07a988,300,1.0,0.009173285216093063,0.014167576096951962,21.46688461303711,0.02186412736773491
stage14-random-label-training-s0-df790c07a988,350,1.0,0.009508893825113773,0.007980026304721832,22.199687957763672,0.01321149431169033
stage14-random-label-training-s0-df790c07a988,400,1.0,0.00962076336145401,0.004521064925938845,22.994834899902344,0.006079651415348053
stage14-random-label-training-s0-df790c07a988,450,1.0,0.009732631966471672,0.0025854946579784155,23.820270538330078,0.003043130272999406
stage14-random-label-training-s0-df790c07a988,500,1.0,0.0092851547524333,0.0014894220512360334,24.670747756958008,0.003042957279831171
stage14-random-label-training-s0-df790c07a988,550,1.0,0.0092851547524333,0.0008617127896286547,25.544958114624023,0.0021200391929596663
stage14-random-label-training-s0-df790c07a988,600,1.0,0.009508893825113773,0.0005007885629311204,26.429738998413086,0.0007599607924930751
stage14-random-label-training-s0-df790c07a988,650,1.0,0.009397024288773537,0.00029170376365073025,27.31740379333496,0.00045458576641976833
stage14-random-label-training-s0-df790c07a988,700,1.0,0.009732631966471672,0.00017065764404833317,28.195852279663086,0.0002743107615970075
stage14-random-label-training-s0-df790c07a988,750,1.0,0.008949547074735165,0.00010028874385170639,29.080331802368164,0.0002726173843257129
stage14-random-label-training-s0-df790c07a988,800,1.0,0.009061416611075401,5.9173722547711805e-05,29.96822166442871,0.00010396089783171192
