stage11_run_id,source_training_run_id,checkpoint_step,checkpoint_sha256,fidelity_threshold,mask_index,seed_material,seed_digest,seed_uint64,bit_generator,numpy_version,sampling_definition,target_retained_components,retained_heads,retained_neurons,retained_components,mask_id,mask_sha256,prediction_agreement_count,evaluated_example_count,primary_fidelity,passes_candidate_threshold,full_accuracy,masked_accuracy,accuracy_change,full_cross_entropy,masked_cross_entropy,cross_entropy_change,mean_kl_divergence,mean_jensen_shannon_divergence,maximum_absolute_logit_difference
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,10,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-0e03af7065da8d58,8ea4b198ebf7216967e10a35e710fed3761ddada5a1c89e38fddc7231c178808,808,12769,0.06327825201660271,False,0.999373482653301,0.06327825201660271,-0.9360952306366982,0.001897166918885118,4.863864168241166,4.861967001322281,4.860226476446409,0.6412847715699315,121.17481231689453
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,11,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-7cf98c279e816877,be95865a1efffd65528fab8bf8ede332df04c96def9f8b28d0e4472f2f043a6d,1886,12769,0.1477014644842979,False,0.999373482653301,0.14754483514762315,-0.8518286475056778,0.001897166918885118,4.136703756504033,4.134806589585148,4.132566535803096,0.5769047849147967,107.72785949707031
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,12,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-787bfdeb0a4945fa,275345e13b6e6db30691b189bb52b4b15905b13539f3fab60ad047e918fe684c,991,12769,0.07760983632234318,False,0.999373482653301,0.07760983632234318,-0.9217636463309578,0.001897166918885118,5.759810910023526,5.75791374310464,5.756177624571511,0.6124658052694042,114.03417205810547
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,13,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-5d50f3e9e88d8e07,3e2875a997e358bb582718a558039c3cec1cad3a53d1a93fb5159945e25153d7,1633,12769,0.12788785339494088,False,0.999373482653301,0.12788785339494088,-0.87148562925836,0.001897166918885118,4.396394708779881,4.3944975418609955,4.392448953301594,0.582617008752919,118.69941711425781
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,14,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-0e9a70504320f281,e324e6c7fa3a7b55a9e0ba2614e9b13992be866573422f065f58415498654b15,593,12769,0.0464405983240661,False,0.999373482653301,0.0464405983240661,-0.9529328843292348,0.001897166918885118,4.815925062139178,4.814027895220293,4.811594221950726,0.6440803269740512,123.52654266357422
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,15,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-694aade37286966c,3012f568700e2dd3736f8db7d730b5cf4e09737c27d62ab32a3a31ca2c35409c,781,12769,0.06116375597149346,False,0.999373482653301,0.06116375597149346,-0.9382097266818075,0.001897166918885118,5.1314609918750085,5.129563824956123,5.127220720694558,0.6411423380346994,122.24095916748047
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,16,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-da54fafe6c389991,70ffd1c5e01ca0919d139efecdd2cf56283ed0ced2c23bfebf8ff1a6482d1c37,594,12769,0.046518912992403474,False,0.999373482653301,0.046518912992403474,-0.9528545696608974,0.001897166918885118,5.29520863117629,5.293311464257404,5.291069233465474,0.6425211184323114,115.433837890625
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,17,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,0,146,146,component-mask-235d705b2ff0aaf8,5d6e9456afb6446de5254eb58b0f4b2b5a1463d3836ea2dfc3b7a7c6fe430e6d,113,12769,0.008849557522123894,False,0.999373482653301,0.008849557522123894,-0.990523925131177,0.001897166918885118,4.763885603541821,4.761988436622936,4.760389853591823,0.6675383833470607,127.09387969970703
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,18,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-95e38e54613a670f,a7f3ba539fab2c15fee0576524583db7c7485024db864321b9ac50faf9d4eaa3,711,12769,0.05568172918787689,False,0.999373482653301,0.05552509985120213,-0.9438483828020988,0.001897166918885118,4.787478645078559,4.785581478159673,4.7835032798566335,0.6364830818241107,118.0200424194336
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,19,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,0,146,146,component-mask-f5f9940de946a59f,12ecae100675bd8e2c91c838d8f291b4c67b266b6410bb44466dfaf9b6555b6e,113,12769,0.008849557522123894,False,0.999373482653301,0.008849557522123894,-0.990523925131177,0.001897166918885118,4.764817672493184,4.762920505574298,4.761289997363727,0.6675302979529572,126.9993667602539
