cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_id,family_member_index,retained_heads,retained_neurons,retained_components,retained_proportion,fidelity,agreement_count,evaluated_example_count,threshold_pass,ground_truth_accuracy,cross_entropy,kl_divergence,jensen_shannon_divergence,local_single_deletion_minimality,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,mask_sha256,exact_evaluation_count,ranking_passes,selected_restart,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,4,4,48,52,0.10077519379844961,0.8562925836009084,10934,12769,True,0.8563708982692458,1.2540594998011767,1.2522225929696218,0.3326687499772772,True,4,13,0.3076923076923077,0.23672866780179752,6b82603d5277dcc8e0657b4bc465c99c5301fe8ac76c5113b934797d832b85d1,7476,465,0,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C5,5,4,50,54,0.10465116279069768,0.8545696608974861,10912,12769,True,0.8545696608974861,1.2629351230933084,1.2610407527976688,0.33555341404854316,True,1,3,0.3333333333333333,0.2798893988653025,39a8aeaac25af368b2532ba3fd7eee4bf2714aad01b481dc4350f043b0f6db62,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C6,6,4,45,49,0.09496124031007752,0.8607565196961391,10991,12769,True,0.8606782050278017,1.3031178403487336,1.3012656043936055,0.3450054327989023,True,23,76,0.3026315789473684,0.24790260155933375,d9b4d4c60868ccd5906c79a534293c15804f1be5085de1fefe62183bbfffc024,7521,468,0,stage18-scaling-24a9adb84176,0,3,7450,41
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,1,4,46,50,0.09689922480620156,0.8579371916359935,10955,12769,True,0.8578588769676561,1.2117103907818925,1.2098354141224472,0.3227630112742595,True,0,1,0.0,,2df54f146906b781fa7d50cc1c8ebe46ff98b6521d918976b7f21b224b5e9d4a,7506,467,0,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,2,4,47,51,0.09883720930232558,0.8537865142141123,10902,12769,True,0.8537081995457749,1.3317708420651164,1.329894142411299,0.34963615744172877,True,12,89,0.1348314606741573,0.1348314606741573,e102912c49430918bcc36e400bbd49ebeed998fbb54ab0281c0e5e8d33f91ff9,7491,466,0,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,3,4,44,48,0.09302325581395349,0.856214268932571,10933,12769,True,0.8561359542642337,1.3848728283114218,1.3829395283695973,0.3606086274264273,True,19,79,0.24050632911392406,0.2095388788426763,8978e4a6c497be9f270dec4ec0ca00c44cda0207c05b1beaa2e01f4bcc15e408,7536,469,0,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,4,4,48,52,0.10077519379844961,0.8562925836009084,10934,12769,True,0.8563708982692458,1.2540594998011767,1.2522225929696218,0.3326687499772772,True,4,13,0.3076923076923077,0.23672866780179752,6b82603d5277dcc8e0657b4bc465c99c5301fe8ac76c5113b934797d832b85d1,7476,465,0,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C5,5,4,50,54,0.10465116279069768,0.8545696608974861,10912,12769,True,0.8545696608974861,1.2629351230933084,1.2610407527976688,0.33555341404854316,True,1,3,0.3333333333333333,0.2798893988653025,39a8aeaac25af368b2532ba3fd7eee4bf2714aad01b481dc4350f043b0f6db62,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C6,6,4,45,49,0.09496124031007752,0.8607565196961391,10991,12769,True,0.8606782050278017,1.3031178403487336,1.3012656043936055,0.3450054327989023,True,23,76,0.3026315789473684,0.24790260155933375,d9b4d4c60868ccd5906c79a534293c15804f1be5085de1fefe62183bbfffc024,7521,468,0,stage18-scaling-24a9adb84176,0,3,7450,42
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,1,4,50,54,0.10465116279069768,0.9073537473568799,11586,12769,True,0.9072754326885426,1.0671543216558659,1.065238816684893,0.293645534926254,True,0,1,0.0,,004602f72529354a506f173c2dac067173e236b4d40b962ded3850f55aa5833d,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C2,2,4,50,54,0.10465116279069768,0.9076670060302294,11590,12769,True,0.9075886913618921,1.1212031046876476,1.1193025985952068,0.30662845860195864,True,17,91,0.18681318681318682,0.18681318681318682,485c76a2a39ce322a55af3b0ba43c278dabe71886329c64ff573cb5b8e3adcec,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C3,3,4,55,59,0.11434108527131782,0.9010102592215522,11505,12769,True,0.9009319445532148,1.125888644056394,1.1240646456370382,0.30806328550546225,True,18,95,0.18947368421052632,0.18327850877192983,99339d142b3fb45304efb80c77ef419c3a071e1b447e73ddc9e2ce3cebdab777,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C4,4,4,55,59,0.11434108527131782,0.9064922860051687,11575,12769,True,0.9064922860051687,1.038285395837668,1.0364744379082118,0.2873808555610242,True,18,95,0.18947368421052632,0.16259683863123156,f9997258420648274c9cdbacea67e41b66b80a3493205092a02e261aac9b2b93,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,43
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,1,4,50,54,0.10465116279069768,0.9073537473568799,11586,12769,True,0.9072754326885426,1.0671543216558659,1.065238816684893,0.293645534926254,True,0,1,0.0,,004602f72529354a506f173c2dac067173e236b4d40b962ded3850f55aa5833d,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,2,4,50,54,0.10465116279069768,0.9076670060302294,11590,12769,True,0.9075886913618921,1.1212031046876476,1.1193025985952068,0.30662845860195864,True,17,91,0.18681318681318682,0.18681318681318682,485c76a2a39ce322a55af3b0ba43c278dabe71886329c64ff573cb5b8e3adcec,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,3,4,55,59,0.11434108527131782,0.9010102592215522,11505,12769,True,0.9009319445532148,1.125888644056394,1.1240646456370382,0.30806328550546225,True,18,95,0.18947368421052632,0.18327850877192983,99339d142b3fb45304efb80c77ef419c3a071e1b447e73ddc9e2ce3cebdab777,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,4,4,55,59,0.11434108527131782,0.9064922860051687,11575,12769,True,0.9064922860051687,1.038285395837668,1.0364744379082118,0.2873808555610242,True,18,95,0.18947368421052632,0.16259683863123156,f9997258420648274c9cdbacea67e41b66b80a3493205092a02e261aac9b2b93,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C5,5,4,52,56,0.10852713178294573,0.9064922860051687,11575,12769,True,0.9064139713368314,1.094876739666918,1.0929750209844618,0.3005956618850102,True,5,17,0.29411764705882354,0.2241049344332518,181f40403640d19be8a96fad16a4d65a922b3dc715fea6e4a397d95c2d940fce,7416,461,0,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C6,6,4,52,56,0.10852713178294573,0.9039079019500352,11542,12769,True,0.9039079019500352,1.0886686950292135,1.0868574603791057,0.299212658266778,True,14,41,0.34146341463414637,0.254958696340295,95ffee5fd97fc6f3562d565b483df7b2fe5b881e98b71f9e7816853518f46c66,7416,461,0,stage18-scaling-24a9adb84176,0,3,7450,44
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,1,4,50,54,0.10465116279069768,0.9073537473568799,11586,12769,True,0.9072754326885426,1.0671543216558659,1.065238816684893,0.293645534926254,True,0,1,0.0,,004602f72529354a506f173c2dac067173e236b4d40b962ded3850f55aa5833d,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,2,4,50,54,0.10465116279069768,0.9076670060302294,11590,12769,True,0.9075886913618921,1.1212031046876476,1.1193025985952068,0.30662845860195864,True,17,91,0.18681318681318682,0.18681318681318682,485c76a2a39ce322a55af3b0ba43c278dabe71886329c64ff573cb5b8e3adcec,7446,463,0,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,3,4,55,59,0.11434108527131782,0.9010102592215522,11505,12769,True,0.9009319445532148,1.125888644056394,1.1240646456370382,0.30806328550546225,True,18,95,0.18947368421052632,0.18327850877192983,99339d142b3fb45304efb80c77ef419c3a071e1b447e73ddc9e2ce3cebdab777,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,4,4,55,59,0.11434108527131782,0.9064922860051687,11575,12769,True,0.9064922860051687,1.038285395837668,1.0364744379082118,0.2873808555610242,True,18,95,0.18947368421052632,0.16259683863123156,f9997258420648274c9cdbacea67e41b66b80a3493205092a02e261aac9b2b93,7371,458,0,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C5,5,4,52,56,0.10852713178294573,0.9064922860051687,11575,12769,True,0.9064139713368314,1.094876739666918,1.0929750209844618,0.3005956618850102,True,5,17,0.29411764705882354,0.2241049344332518,181f40403640d19be8a96fad16a4d65a922b3dc715fea6e4a397d95c2d940fce,7416,461,0,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C6,6,4,52,56,0.10852713178294573,0.9039079019500352,11542,12769,True,0.9039079019500352,1.0886686950292135,1.0868574603791057,0.299212658266778,True,14,41,0.34146341463414637,0.254958696340295,95ffee5fd97fc6f3562d565b483df7b2fe5b881e98b71f9e7816853518f46c66,7416,461,0,stage18-scaling-24a9adb84176,0,3,7450,45
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,1,4,56,60,0.11627906976744186,0.9502701856057639,12134,12769,True,0.9501918709374266,0.8577109254650737,0.8558630424447632,0.2462687733295232,True,0,1,0.0,,f063617b7b4ffd81f98e2828dda6ededfba05392312ece96dee1d914663fa407,7356,457,0,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C2,2,4,63,67,0.1298449612403101,0.9526979403242227,12165,12769,True,0.9526196256558853,0.8692790941740859,0.8673944726132824,0.2496087770515106,True,14,113,0.12389380530973451,0.12389380530973451,6614ad0ddb7d16dc8f25ec8e28a4e4490c8be2c90b251725c2073723a8b42d91,7251,450,0,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C3,3,4,58,62,0.12015503875968993,0.9516015349674994,12151,12769,True,0.951523220299162,0.9119987166794107,0.9101446124989292,0.2598682299618599,True,23,99,0.23232323232323232,0.1819510898458267,67697c5c69052098b45aa6287a033550c458c195d67787319c212eeece5a57a2,7342,455,0,stage18-scaling-24a9adb84176,0,3,7450,46
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,1,4,56,60,0.11627906976744186,0.9502701856057639,12134,12769,True,0.9501918709374266,0.8577109254650737,0.8558630424447632,0.2462687733295232,True,0,1,0.0,,f063617b7b4ffd81f98e2828dda6ededfba05392312ece96dee1d914663fa407,7356,457,0,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,2,4,63,67,0.1298449612403101,0.9526979403242227,12165,12769,True,0.9526196256558853,0.8692790941740859,0.8673944726132824,0.2496087770515106,True,14,113,0.12389380530973451,0.12389380530973451,6614ad0ddb7d16dc8f25ec8e28a4e4490c8be2c90b251725c2073723a8b42d91,7251,450,0,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C3,3,4,58,62,0.12015503875968993,0.9516015349674994,12151,12769,True,0.951523220299162,0.9119987166794107,0.9101446124989292,0.2598682299618599,True,23,99,0.23232323232323232,0.1819510898458267,67697c5c69052098b45aa6287a033550c458c195d67787319c212eeece5a57a2,7342,455,0,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C4,4,4,56,60,0.11627906976744186,0.9516798496358367,12152,12769,True,0.9516015349674994,0.9220381828409503,0.9202222999942256,0.26233454924054184,True,5,19,0.2631578947368421,0.2160985031385804,6a362eb60b767cbe4ab647155c34302f02aab3d8590adb43ee9ca7e31c6c1817,7356,457,0,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C5,5,4,58,62,0.12015503875968993,0.9544991776959825,12188,12769,True,0.9544208630276451,0.9668380966395016,0.9649046001014552,0.27322243865714957,True,29,93,0.3118279569892473,0.23665271265307766,2dedfa7d66a3f451d21f359b2b81f23b0cfec02d743bf7bea753ab7ececd73d2,7326,455,0,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C6,6,4,59,63,0.12209302325581395,0.9518364789725116,12154,12769,True,0.9517581643041741,0.9201694391956671,0.918343376696789,0.2610308174389247,True,25,98,0.25510204081632654,0.21205110355622045,808a915255491dc90c4b55547eaf76266770bd3993f1d9d8b7abd3984830f069,7311,454,0,stage18-scaling-24a9adb84176,0,3,7450,47
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C1,1,4,56,60,0.11627906976744186,0.9502701856057639,12134,12769,True,0.9501918709374266,0.8577109254650737,0.8558630424447632,0.2462687733295232,True,0,1,0.0,,f063617b7b4ffd81f98e2828dda6ededfba05392312ece96dee1d914663fa407,7356,457,0,stage18-scaling-24a9adb84176,0,3,7450,48
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C2,2,4,63,67,0.1298449612403101,0.9526979403242227,12165,12769,True,0.9526196256558853,0.8692790941740859,0.8673944726132824,0.2496087770515106,True,14,113,0.12389380530973451,0.12389380530973451,6614ad0ddb7d16dc8f25ec8e28a4e4490c8be2c90b251725c2073723a8b42d91,7251,450,0,stage18-scaling-24a9adb84176,0,3,7450,48
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C3,3,4,58,62,0.12015503875968993,0.9516015349674994,12151,12769,True,0.951523220299162,0.9119987166794107,0.9101446124989292,0.2598682299618599,True,23,99,0.23232323232323232,0.1819510898458267,67697c5c69052098b45aa6287a033550c458c195d67787319c212eeece5a57a2,7342,455,0,stage18-scaling-24a9adb84176,0,3,7450,48
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C4,4,4,56,60,0.11627906976744186,0.9516798496358367,12152,12769,True,0.9516015349674994,0.9220381828409503,0.9202222999942256,0.26233454924054184,True,5,19,0.2631578947368421,0.2160985031385804,6a362eb60b767cbe4ab647155c34302f02aab3d8590adb43ee9ca7e31c6c1817,7356,457,0,stage18-scaling-24a9adb84176,0,3,7450,48
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C5,5,4,58,62,0.12015503875968993,0.9544991776959825,12188,12769,True,0.9544208630276451,0.9668380966395016,0.9649046001014552,0.27322243865714957,True,29,93,0.3118279569892473,0.23665271265307766,2dedfa7d66a3f451d21f359b2b81f23b0cfec02d743bf7bea753ab7ececd73d2,7326,455,0,stage18-scaling-24a9adb84176,0,3,7450,48
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,fresh_execution,,,C6,6,4,59,63,0.12209302325581395,0.9518364789725116,12154,12769,True,0.9517581643041741,0.9201694391956671,0.918343376696789,0.2610308174389247,True,25,98,0.25510204081632654,0.21205110355622045,808a915255491dc90c4b55547eaf76266770bd3993f1d9d8b7abd3984830f069,7311,454,0,stage18-scaling-24a9adb84176,0,3,7450,48
