stage12_run_id,cell_id,checkpoint_step,distinctness_cutoff,status,stopping_reason,family_size,family_target,right_censored,exact_evaluations_used,per_cell_budget,budget_remaining,restart_outcome_count,pseudo_target_sha256,full_model_reference_sha256,raw_cell_directory
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00000200,200,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,1580,50000,48420,1,1d536423244f35444c5eb9ce8a30f4fe23877a3a27a1c00f6c64441ef7697f80,4c5e64de5e9c93c9b53b21525c950d04c805173c928a2a7a8bbf056b7ae13d41,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00000200
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00003400,3400,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,643,50000,49357,1,83996ea9e74f8dbee0936bb56f0f9e634f7502baa2a21cdc38a66d9b8dab752a,cb3f9d6a1e1117e7950c598ca35650e227bbfe9e04fd46e61a1ed8e3c1f6a1e0,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00003400
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00007450,7450,0.5,no_feasible_candidate_discovered_within_tested_search,requested_member_1_no_feasible_candidate_discovered_within_tested_search,0,10,False,516,50000,49484,1,a60190ce52b89e41a265ed752dfdce8ceb1bc787910a518bec5581bebc2b59c4,96537f84afd73c27a0486517c06c3a1c2ac19a29e719a98bee8d59586e083e52,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00007450
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00008150,8150,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,739,50000,49261,1,16ed14f7fbdff6659c02d132cf0dd175f2d542bce757d992323d6d3b179e2a5b,f82060a745144a53363a37799596b300878e44ba363a7c384779254c3fc11355,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00008150
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00008500,8500,0.5,no_feasible_candidate_discovered_within_tested_search,requested_member_1_no_feasible_candidate_discovered_within_tested_search,0,10,False,516,50000,49484,1,984e3f4b383d379732bba5497cd30bf6f16aafb37f0537cd5c16b1dfb864bf9d,6e9ac2c3859836089327c41c97474e0bd3959c64603f2cb0960547cbab4f788c,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00008500
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00008650,8650,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,787,50000,49213,1,e046b7758f4a5a1ddd610cbcceac58d11927648fcb30fa70eeca45d3eb99231f,e64ac372cb676fee248b323cfc620b4daae28c173507ba548556ce4e0369e1d7,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00008650
stage14-random-label-analysis-s0-7b472aa5163a,primary-family-step-00009050,9050,0.5,no_feasible_candidate_discovered_within_tested_search,requested_member_1_no_feasible_candidate_discovered_within_tested_search,0,10,False,516,50000,49484,1,174a00a80887903cbb02c8f1deba148b09f4c870a0db87ad4cf5ae19027fba17,8301cd19bfc56404231941daf5cb1ca1a421766812885a139ee55fdf93491612,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00009050
