global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,checkpoint_sha256,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_cutoff,primary_cell,family_search_execution_mode,transfer_execution_mode,source_stage,source_run_id,source_manifest,source_cell_id,fresh_cell_index,worker_id,output_root,status,stopping_reason,family_size,transfer_group_status
21,s0-step3400-f4of5-d3of4,0,2,3400,,4,5,0.800,3,4,0.75,False,fresh_execution,fresh_execution,,,,,20,worker_08,results/raw/{stage18_run_id}/workers/worker_08/cells/s0-step3400-f4of5-d3of4,not_executed,,,not_evaluated
22,s0-step3400-f17of20-d1of4,0,2,3400,,17,20,0.850,1,4,0.25,False,fresh_execution,fresh_execution,,,,,21,worker_09,results/raw/{stage18_run_id}/workers/worker_09/cells/s0-step3400-f17of20-d1of4,not_executed,,,not_evaluated
23,s0-step3400-f17of20-d1of2,0,2,3400,,17,20,0.850,1,2,0.50,False,fresh_execution,fresh_execution,,,,,22,worker_10,results/raw/{stage18_run_id}/workers/worker_10/cells/s0-step3400-f17of20-d1of2,not_executed,,,not_evaluated
24,s0-step3400-f17of20-d3of4,0,2,3400,,17,20,0.850,3,4,0.75,False,fresh_execution,fresh_execution,,,,,23,worker_11,results/raw/{stage18_run_id}/workers/worker_11/cells/s0-step3400-f17of20-d3of4,not_executed,,,not_evaluated
25,s0-step3400-f9of10-d1of4,0,2,3400,,9,10,0.900,1,4,0.25,False,fresh_execution,fresh_execution,,,,,24,worker_00,results/raw/{stage18_run_id}/workers/worker_00/cells/s0-step3400-f9of10-d1of4,not_executed,,,not_evaluated
26,s0-step3400-f9of10-d1of2,0,2,3400,,9,10,0.900,1,2,0.50,False,fresh_execution,fresh_execution,,,,,25,worker_01,results/raw/{stage18_run_id}/workers/worker_01/cells/s0-step3400-f9of10-d1of2,not_executed,,,not_evaluated
27,s0-step3400-f9of10-d3of4,0,2,3400,,9,10,0.900,3,4,0.75,False,fresh_execution,fresh_execution,,,,,26,worker_02,results/raw/{stage18_run_id}/workers/worker_02/cells/s0-step3400-f9of10-d3of4,not_executed,,,not_evaluated
28,s0-step3400-f19of20-d1of4,0,2,3400,,19,20,0.950,1,4,0.25,False,fresh_execution,fresh_execution,,,,,27,worker_03,results/raw/{stage18_run_id}/workers/worker_03/cells/s0-step3400-f19of20-d1of4,not_executed,,,not_evaluated
29,s0-step3400-f19of20-d1of2,0,2,3400,,19,20,0.950,1,2,0.50,False,fresh_execution,fresh_execution,,,,,28,worker_04,results/raw/{stage18_run_id}/workers/worker_04/cells/s0-step3400-f19of20-d1of2,not_executed,,,not_evaluated
30,s0-step3400-f19of20-d3of4,0,2,3400,,19,20,0.950,3,4,0.75,False,fresh_execution,fresh_execution,,,,,29,worker_05,results/raw/{stage18_run_id}/workers/worker_05/cells/s0-step3400-f19of20-d3of4,not_executed,,,not_evaluated
