stage17_run_id,record_type,cell_index,cell_id,circuit_id,elapsed_seconds,included_in_deterministic_scientific_hashes
stage17-sensitivity-s1-7801e7938531,transfer_circuit,7,s1-step9050-f9of10-d1of4,C1,0.13717233412899077,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,7,s1-step9050-f9of10-d1of4,C2,0.1367713341023773,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,7,s1-step9050-f9of10-d1of4,C3,0.13885545800440013,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C1,0.160521375015378,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C2,0.14978316705673933,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C3,0.14524524984881282,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C4,0.14195187506265938,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C5,0.13683337508700788,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C6,0.13587124994955957,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,8,s1-step9050-f9of10-d1of2,C7,0.15101224998943508,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C1,0.13753091683611274,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C2,0.1365663749165833,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C3,0.1363815839868039,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C4,0.1367550001014024,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C5,0.1426771660335362,False
