stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,3,C3,True,0,0.8504972981439424,67,0.1298449612403101,5,19,0.2631578947368421,0.21361019736842105,21570,7315,450,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,4,C4,True,0,0.8512804448273161,71,0.1375968992248062,8,29,0.27586206896551724,0.2375764451857311,28777,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,5,C5,True,0,0.8502623541389303,72,0.13953488372093023,35,114,0.30701754385964913,0.2207655804075131,35953,7176,445,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,6,C6,True,0,0.8527684235257263,68,0.13178294573643412,30,109,0.27522935779816515,0.24443454315169447,43253,7300,449,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,7,C7,False,0,0.883859346855666,95,,17,66,0.25757575757575757,,50000,6747,422,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,1,C1,True,0,0.8512021301589788,77,0.14922480620155038,0,1,0.0,,7101,7101,440,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,2,C2,True,0,0.8504972981439424,82,0.15891472868217055,20,139,0.14388489208633093,0.14388489208633093,14255,7154,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,3,C3,True,0,0.8504972981439424,67,0.1298449612403101,5,19,0.2631578947368421,0.21361019736842105,21570,7315,450,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,4,C4,True,0,0.8512804448273161,71,0.1375968992248062,8,29,0.27586206896551724,0.2375764451857311,28777,7207,446,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,5,C5,True,0,0.8502623541389303,72,0.13953488372093023,35,114,0.30701754385964913,0.2207655804075131,35953,7176,445,1,accepted,,False,fresh_execution
