cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,right_censored,reference_cell,primary_cell,zero_family,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
30,s0-step3400-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,30
31,s0-step3400-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,31
32,s0-step3400-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,32
33,s0-step3400-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,33
34,s0-step3400-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,34
35,s0-step3400-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,0,2,3400,35
36,s0-step3400-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,0,2,3400,36
37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,37
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,38
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,39
40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,40
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,41
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,42
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,4,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,43
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,44
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,45
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,46
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,47
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,48
49,s0-step7450-f39of40-d1of4,39,40,0.975,1,4,0.25,4,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,49
50,s0-step7450-f39of40-d1of2,39,40,0.975,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,50
51,s0-step7450-f39of40-d3of4,39,40,0.975,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,51
52,s0-step7450-f99of100-d1of4,99,100,0.990,1,4,0.25,4,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,52
53,s0-step7450-f99of100-d1of2,99,100,0.990,1,2,0.50,7,False,False,True,False,stage18-scaling-24a9adb84176,0,3,7450,53
54,s0-step7450-f99of100-d3of4,99,100,0.990,3,4,0.75,7,False,False,False,False,stage18-scaling-24a9adb84176,0,3,7450,54
55,s0-step8150-f4of5-d1of4,4,5,0.800,1,4,0.25,2,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,55
56,s0-step8150-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,56
57,s0-step8150-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,57
58,s0-step8150-f17of20-d1of4,17,20,0.850,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,58
59,s0-step8150-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,59
60,s0-step8150-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,60
61,s0-step8150-f9of10-d1of4,9,10,0.900,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,61
62,s0-step8150-f9of10-d1of2,9,10,0.900,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,62
63,s0-step8150-f9of10-d3of4,9,10,0.900,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,63
64,s0-step8150-f19of20-d1of4,19,20,0.950,1,4,0.25,2,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,64
65,s0-step8150-f19of20-d1of2,19,20,0.950,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,65
66,s0-step8150-f19of20-d3of4,19,20,0.950,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,66
67,s0-step8150-f39of40-d1of4,39,40,0.975,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,67
68,s0-step8150-f39of40-d1of2,39,40,0.975,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,68
69,s0-step8150-f39of40-d3of4,39,40,0.975,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,69
70,s0-step8150-f99of100-d1of4,99,100,0.990,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,70
71,s0-step8150-f99of100-d1of2,99,100,0.990,1,2,0.50,7,False,False,True,False,stage18-scaling-24a9adb84176,0,4,8150,71
72,s0-step8150-f99of100-d3of4,99,100,0.990,3,4,0.75,7,False,False,False,False,stage18-scaling-24a9adb84176,0,4,8150,72
73,s0-step8500-f4of5-d1of4,4,5,0.800,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,73
74,s0-step8500-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,74
75,s0-step8500-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,75
76,s0-step8500-f17of20-d1of4,17,20,0.850,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,76
77,s0-step8500-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,77
78,s0-step8500-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,78
79,s0-step8500-f9of10-d1of4,9,10,0.900,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,79
80,s0-step8500-f9of10-d1of2,9,10,0.900,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,80
81,s0-step8500-f9of10-d3of4,9,10,0.900,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,81
82,s0-step8500-f19of20-d1of4,19,20,0.950,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,82
83,s0-step8500-f19of20-d1of2,19,20,0.950,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,83
84,s0-step8500-f19of20-d3of4,19,20,0.950,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,84
85,s0-step8500-f39of40-d1of4,39,40,0.975,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,85
86,s0-step8500-f39of40-d1of2,39,40,0.975,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,86
87,s0-step8500-f39of40-d3of4,39,40,0.975,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,87
88,s0-step8500-f99of100-d1of4,99,100,0.990,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,88
89,s0-step8500-f99of100-d1of2,99,100,0.990,1,2,0.50,7,False,False,True,False,stage18-scaling-24a9adb84176,0,5,8500,89
90,s0-step8500-f99of100-d3of4,99,100,0.990,3,4,0.75,7,False,False,False,False,stage18-scaling-24a9adb84176,0,5,8500,90
91,s0-step8650-f4of5-d1of4,4,5,0.800,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,91
92,s0-step8650-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,92
93,s0-step8650-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,93
94,s0-step8650-f17of20-d1of4,17,20,0.850,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,94
95,s0-step8650-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,95
96,s0-step8650-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,96
97,s0-step8650-f9of10-d1of4,9,10,0.900,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,97
98,s0-step8650-f9of10-d1of2,9,10,0.900,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,98
99,s0-step8650-f9of10-d3of4,9,10,0.900,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,99
100,s0-step8650-f19of20-d1of4,19,20,0.950,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,100
101,s0-step8650-f19of20-d1of2,19,20,0.950,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,101
102,s0-step8650-f19of20-d3of4,19,20,0.950,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,102
103,s0-step8650-f39of40-d1of4,39,40,0.975,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,103
104,s0-step8650-f39of40-d1of2,39,40,0.975,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,104
105,s0-step8650-f39of40-d3of4,39,40,0.975,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,105
106,s0-step8650-f99of100-d1of4,99,100,0.990,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,106
107,s0-step8650-f99of100-d1of2,99,100,0.990,1,2,0.50,6,False,False,True,False,stage18-scaling-24a9adb84176,0,6,8650,107
108,s0-step8650-f99of100-d3of4,99,100,0.990,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,6,8650,108
109,s0-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,3,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,109
110,s0-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,110
111,s0-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,111
112,s0-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,4,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,112
113,s0-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,113
114,s0-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,114
115,s0-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,115
116,s0-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,116
117,s0-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,117
118,s0-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,4,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,118
119,s0-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,119
120,s0-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,120
121,s0-step9050-f39of40-d1of4,39,40,0.975,1,4,0.25,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,121
122,s0-step9050-f39of40-d1of2,39,40,0.975,1,2,0.50,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,122
123,s0-step9050-f39of40-d3of4,39,40,0.975,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,123
124,s0-step9050-f99of100-d1of4,99,100,0.990,1,4,0.25,5,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,124
125,s0-step9050-f99of100-d1of2,99,100,0.990,1,2,0.50,6,False,False,True,False,stage18-scaling-24a9adb84176,0,7,9050,125
126,s0-step9050-f99of100-d3of4,99,100,0.990,3,4,0.75,6,False,False,False,False,stage18-scaling-24a9adb84176,0,7,9050,126
127,s1-step200-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,127
128,s1-step200-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,128
129,s1-step200-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,129
130,s1-step200-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,130
131,s1-step200-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,131
132,s1-step200-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,132
133,s1-step200-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,133
134,s1-step200-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,134
135,s1-step200-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,135
136,s1-step200-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,136
137,s1-step200-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,137
138,s1-step200-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,138
139,s1-step200-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,139
140,s1-step200-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,140
141,s1-step200-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,141
142,s1-step200-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,142
143,s1-step200-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,1,1,200,143
144,s1-step200-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,1,200,144
145,s1-step3400-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,145
146,s1-step3400-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,146
147,s1-step3400-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,147
148,s1-step3400-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,148
149,s1-step3400-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,149
150,s1-step3400-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,150
151,s1-step3400-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,151
152,s1-step3400-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,152
153,s1-step3400-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,153
154,s1-step3400-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,154
155,s1-step3400-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,155
156,s1-step3400-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,156
157,s1-step3400-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,157
158,s1-step3400-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,158
159,s1-step3400-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,159
160,s1-step3400-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,160
161,s1-step3400-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,1,2,3400,161
162,s1-step3400-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,2,3400,162
163,s1-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,163
164,s1-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,164
165,s1-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,165
166,s1-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,166
167,s1-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,167
168,s1-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,168
169,s1-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,169
170,s1-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,170
171,s1-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,171
172,s1-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,172
173,s1-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,173
174,s1-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,174
175,s1-step7450-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,175
176,s1-step7450-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,176
177,s1-step7450-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,177
178,s1-step7450-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,178
179,s1-step7450-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,1,3,7450,179
180,s1-step7450-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,3,7450,180
181,s1-step8150-f4of5-d1of4,4,5,0.800,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,181
182,s1-step8150-f4of5-d1of2,4,5,0.800,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,182
183,s1-step8150-f4of5-d3of4,4,5,0.800,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,183
184,s1-step8150-f17of20-d1of4,17,20,0.850,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,184
185,s1-step8150-f17of20-d1of2,17,20,0.850,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,185
186,s1-step8150-f17of20-d3of4,17,20,0.850,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,186
187,s1-step8150-f9of10-d1of4,9,10,0.900,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,187
188,s1-step8150-f9of10-d1of2,9,10,0.900,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,188
189,s1-step8150-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,189
190,s1-step8150-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,190
191,s1-step8150-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,191
192,s1-step8150-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,192
193,s1-step8150-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,193
194,s1-step8150-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,194
195,s1-step8150-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,195
196,s1-step8150-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,False,False,True,stage18-scaling-24a9adb84176,1,4,8150,196
197,s1-step8150-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,False,True,True,stage18-scaling-24a9adb84176,1,4,8150,197
