cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,6,48,54,50.666666666666664,50.5,0.09302325581395349,0.10465116279069768,0.09819121447028424,0.09786821705426357,stage18-scaling-24a9adb84176,0,3,7450,41
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,6,48,54,50.666666666666664,50.5,0.09302325581395349,0.10465116279069768,0.09819121447028424,0.09786821705426357,stage18-scaling-24a9adb84176,0,3,7450,42
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,4,54,59,56.5,56.5,0.10465116279069768,0.11434108527131782,0.10949612403100775,0.10949612403100775,stage18-scaling-24a9adb84176,0,3,7450,43
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,6,54,59,56.333333333333336,56.0,0.10465116279069768,0.11434108527131782,0.10917312661498708,0.10852713178294573,stage18-scaling-24a9adb84176,0,3,7450,44
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,6,54,59,56.333333333333336,56.0,0.10465116279069768,0.11434108527131782,0.10917312661498708,0.10852713178294573,stage18-scaling-24a9adb84176,0,3,7450,45
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,3,60,67,63,62,0.11627906976744186,0.1298449612403101,0.12209302325581396,0.12015503875968993,stage18-scaling-24a9adb84176,0,3,7450,46
47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,6,60,67,62.333333333333336,62.0,0.11627906976744186,0.1298449612403101,0.12080103359173126,0.12015503875968993,stage18-scaling-24a9adb84176,0,3,7450,47
48,s0-step7450-f19of20-d3of4,19,20,0.950,3,4,0.75,6,60,67,62.333333333333336,62.0,0.11627906976744186,0.1298449612403101,0.12080103359173126,0.12015503875968993,stage18-scaling-24a9adb84176,0,3,7450,48
49,s0-step7450-f39of40-d1of4,39,40,0.975,1,4,0.25,4,67,76,70.25,69.0,0.1298449612403101,0.14728682170542637,0.1361434108527132,0.13372093023255816,stage18-scaling-24a9adb84176,0,3,7450,49
50,s0-step7450-f39of40-d1of2,39,40,0.975,1,2,0.50,6,67,76,70.5,69.0,0.1298449612403101,0.14728682170542637,0.1366279069767442,0.13372093023255816,stage18-scaling-24a9adb84176,0,3,7450,50
51,s0-step7450-f39of40-d3of4,39,40,0.975,3,4,0.75,6,67,76,70.5,69.0,0.1298449612403101,0.14728682170542637,0.1366279069767442,0.13372093023255816,stage18-scaling-24a9adb84176,0,3,7450,51
52,s0-step7450-f99of100-d1of4,99,100,0.990,1,4,0.25,4,77,91,83,82.0,0.14922480620155038,0.17635658914728683,0.16085271317829458,0.15891472868217055,stage18-scaling-24a9adb84176,0,3,7450,52
53,s0-step7450-f99of100-d1of2,99,100,0.990,1,2,0.50,7,77,91,82.42857142857143,81,0.14922480620155038,0.17635658914728683,0.1597452934662237,0.1569767441860465,stage18-scaling-24a9adb84176,0,3,7450,53
54,s0-step7450-f99of100-d3of4,99,100,0.990,3,4,0.75,7,77,91,82.42857142857143,81,0.14922480620155038,0.17635658914728683,0.1597452934662237,0.1569767441860465,stage18-scaling-24a9adb84176,0,3,7450,54
55,s0-step8150-f4of5-d1of4,4,5,0.800,1,4,0.25,2,44,47,45.5,45.5,0.08527131782945736,0.09108527131782945,0.0881782945736434,0.0881782945736434,stage18-scaling-24a9adb84176,0,4,8150,55
56,s0-step8150-f4of5-d1of2,4,5,0.800,1,2,0.50,6,44,47,45,45.0,0.08527131782945736,0.09108527131782945,0.0872093023255814,0.0872093023255814,stage18-scaling-24a9adb84176,0,4,8150,56
