stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,family_size,empty_family,singleton_family,right_censored,search_status,stopping_reason,search_execution_mode,analysis_role,unavailable_control,included_in_stage19_universe
stage18-scaling-24a9adb84176,30,s0-step3400-f19of20-d3of4,0,2,3400,0.950,0.75,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,31,s0-step3400-f39of40-d1of4,0,2,3400,0.975,0.25,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,32,s0-step3400-f39of40-d1of2,0,2,3400,0.975,0.50,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,33,s0-step3400-f39of40-d3of4,0,2,3400,0.975,0.75,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,34,s0-step3400-f99of100-d1of4,0,2,3400,0.990,0.25,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,35,s0-step3400-f99of100-d1of2,0,2,3400,0.990,0.50,True,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,primary_checkpoint_matching_and_sensitivity,False,True
stage18-scaling-24a9adb84176,36,s0-step3400-f99of100-d3of4,0,2,3400,0.990,0.75,False,0,True,False,False,sparsity_failure,requested_member_1_sparsity_failure,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,37,s0-step7450-f4of5-d1of4,0,3,7450,0.800,0.25,False,3,False,False,False,budget_exhaustion,requested_member_4_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,38,s0-step7450-f4of5-d1of2,0,3,7450,0.800,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,39,s0-step7450-f4of5-d3of4,0,3,7450,0.800,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,40,s0-step7450-f17of20-d1of4,0,3,7450,0.850,0.25,False,3,False,False,False,budget_exhaustion,requested_member_4_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,41,s0-step7450-f17of20-d1of2,0,3,7450,0.850,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,42,s0-step7450-f17of20-d3of4,0,3,7450,0.850,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,43,s0-step7450-f9of10-d1of4,0,3,7450,0.900,0.25,False,4,False,False,False,budget_exhaustion,requested_member_5_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,44,s0-step7450-f9of10-d1of2,0,3,7450,0.900,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,45,s0-step7450-f9of10-d3of4,0,3,7450,0.900,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,46,s0-step7450-f19of20-d1of4,0,3,7450,0.950,0.25,False,3,False,False,False,budget_exhaustion,requested_member_4_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,47,s0-step7450-f19of20-d1of2,0,3,7450,0.950,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,48,s0-step7450-f19of20-d3of4,0,3,7450,0.950,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
