record_type,model_seed,checkpoint_step,cell_id,circuit_id,test_subset,transfer_fidelity,transfer_distinct_group_count,display_unit,independent_inference_unit
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,q2,0.9931077694235589,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,q3,0.9921679197994987,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,q4,0.9821428571428571,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,q1,0.9932286857494613,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,q2,0.9921679197994987,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,q3,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,q4,0.9834183673469388,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C7,q1,0.9907663896583564,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C7,q2,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C7,q3,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,1,9050,s1-step9050-f99of100-d1of2,C7,q4,0.9872448979591837,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,q1,0.9929208987380732,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,q2,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,q3,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,q4,0.9853316326530612,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,q1,0.987072945521699,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,q2,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,q3,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,q4,0.9913903061224489,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,q1,0.9886118805786396,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,q2,0.9924812030075187,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,q3,0.9927944862155389,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,q4,0.9878826530612245,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,q1,0.9879963065558633,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,q2,0.9946741854636592,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,q3,0.9946741854636592,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,q4,0.9837372448979592,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,q1,0.9858417974761465,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,q2,0.9946741854636592,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,q3,0.9943609022556391,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,q4,0.9856505102040817,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C6,q1,0.9889196675900277,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C6,q2,0.9909147869674185,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C6,q3,0.9909147869674185,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C6,q4,0.9913903061224489,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C7,q1,0.9879963065558633,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C7,q2,0.9909147869674185,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C7,q3,0.9909147869674185,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,2,9050,s2-step9050-f99of100-d1of2,C7,q4,0.9910714285714286,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,q1,0.9907663896583564,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,q2,0.9899749373433584,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,q3,0.9899749373433584,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,q4,0.9901147959183674,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,q1,0.9876885195444752,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,q2,0.9915413533834586,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,q3,0.9915413533834586,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,q4,0.9920280612244898,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,q1,0.9913819636811326,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,q2,0.9902882205513784,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,q3,0.9896616541353384,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,q4,0.9897959183673469,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,q1,0.9910741766697445,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,q2,0.9906015037593985,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,q3,0.9902882205513784,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,q4,0.9936224489795918,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,q1,0.9879963065558633,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,q2,0.9912280701754386,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,q3,0.9915413533834586,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,q4,0.9926658163265306,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C6,q1,0.9901508156355802,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C6,q2,0.9893483709273183,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C6,q3,0.9899749373433584,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C6,q4,0.9907525510204082,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C7,q1,0.9910741766697445,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C7,q2,0.9902882205513784,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C7,q3,0.9902882205513784,,circuit_by_test_subset_within_trained_model,trained_model_seed
functional_transfer_matrix,4,9050,s4-step9050-f99of100-d1of2,C7,q4,0.9923469387755102,,circuit_by_test_subset_within_trained_model,trained_model_seed
transfer_group_trajectory,0,200,s0-step200-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,3400,s0-step3400-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,7450,s0-step7450-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,8150,s0-step8150-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,8500,s0-step8500-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,8650,s0-step8650-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,0,9050,s0-step9050-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,200,s1-step200-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,3400,s1-step3400-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,7450,s1-step7450-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,8150,s1-step8150-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,8500,s1-step8500-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,8650,s1-step8650-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,1,9050,s1-step9050-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,200,s2-step200-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,3400,s2-step3400-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,7450,s2-step7450-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,8150,s2-step8150-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,8500,s2-step8500-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,8650,s2-step8650-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,2,9050,s2-step9050-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,200,s3-step200-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,3400,s3-step3400-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
