record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,27,s0-step3400-f9of10-d3of4,9,10,0.900,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,684,49316,9,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,27
cell,28,s0-step3400-f19of20-d1of4,19,20,0.950,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,561,49439,4,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,28
cell,29,s0-step3400-f19of20-d1of2,19,20,0.950,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,561,49439,4,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,29
cell,30,s0-step3400-f19of20-d3of4,19,20,0.950,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,561,49439,4,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,30
cell,31,s0-step3400-f39of40-d1of4,39,40,0.975,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,738,49262,3,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,31
cell,32,s0-step3400-f39of40-d1of2,39,40,0.975,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,738,49262,3,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,32
cell,33,s0-step3400-f39of40-d3of4,39,40,0.975,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,738,49262,3,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,33
cell,34,s0-step3400-f99of100-d1of4,99,100,0.990,1,4,0.25,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,611,49389,2,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,34
cell,35,s0-step3400-f99of100-d1of2,99,100,0.990,1,2,0.50,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,611,49389,2,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,35
cell,36,s0-step3400-f99of100-d3of4,99,100,0.990,3,4,0.75,0,False,1,1,requested_member_1_sparsity_failure,sparsity_failure,False,611,49389,2,1,0,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,36
