model_seed,training_step,train_accuracy,test_accuracy,analysed_checkpoint,aggregation_unit
0,4900,1.0,0.5927956104278564,False,trained_model_seed
0,4950,1.0,0.6521982550621033,False,trained_model_seed
0,5000,1.0,0.7175299525260925,False,trained_model_seed
0,5050,1.0,0.7746951580047607,False,trained_model_seed
0,5100,1.0,0.828839898109436,False,trained_model_seed
0,5150,1.0,0.8736995458602905,False,trained_model_seed
0,5200,1.0,0.9092739820480347,False,trained_model_seed
0,5250,1.0,0.9354513883590698,False,trained_model_seed
0,5300,1.0,0.9536861181259155,False,trained_model_seed
0,5350,1.0,0.968005359172821,False,trained_model_seed
0,5400,1.0,0.9762837290763855,False,trained_model_seed
0,5450,1.0,0.9806466102600098,False,trained_model_seed
0,5500,1.0,0.9834433197975159,False,trained_model_seed
0,5550,1.0,0.9800872802734375,False,trained_model_seed
0,5600,1.0,0.9704664945602417,False,trained_model_seed
0,5650,1.0,0.9861282110214233,False,trained_model_seed
0,5700,1.0,0.9908267259597778,False,trained_model_seed
0,5750,1.0,0.9929522275924683,False,trained_model_seed
0,5800,1.0,0.9936234354972839,False,trained_model_seed
0,5850,1.0,0.9946302771568298,False,trained_model_seed
0,5900,1.0,0.9958608150482178,False,trained_model_seed
0,5950,1.0,0.9968676567077637,False,trained_model_seed
0,6000,1.0,0.9975388646125793,False,trained_model_seed
0,6050,1.0,0.9985457062721252,False,trained_model_seed
0,6100,1.0,0.9991050362586975,False,trained_model_seed
0,6150,1.0,0.9992169141769409,False,trained_model_seed
0,6200,1.0,0.9993287920951843,False,trained_model_seed
0,6250,1.0,0.9994406700134277,False,trained_model_seed
0,6300,1.0,0.9994406700134277,False,trained_model_seed
0,6350,1.0,0.9995525479316711,False,trained_model_seed
0,6400,1.0,0.9996643662452698,False,trained_model_seed
0,6450,1.0,1.0,False,trained_model_seed
0,6500,1.0,1.0,False,trained_model_seed
0,6550,1.0,1.0,False,trained_model_seed
0,6600,1.0,1.0,False,trained_model_seed
0,6650,1.0,1.0,False,trained_model_seed
0,6700,1.0,1.0,False,trained_model_seed
0,6750,1.0,1.0,False,trained_model_seed
0,6800,1.0,1.0,False,trained_model_seed
0,6850,0.9960835576057434,0.9884774684906006,False,trained_model_seed
0,6900,1.0,0.9995525479316711,False,trained_model_seed
0,6950,1.0,0.9995525479316711,False,trained_model_seed
0,7000,1.0,1.0,False,trained_model_seed
0,7050,1.0,0.9996643662452698,False,trained_model_seed
0,7100,1.0,0.9994406700134277,False,trained_model_seed
0,7150,1.0,0.9995525479316711,False,trained_model_seed
