model_seed,checkpoint_index,checkpoint_step,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256,train_accuracy,test_accuracy,train_cross_entropy,test_cross_entropy,reload_verified
1,7,9050,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00009050.pt,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,77f88694e65eb4d50ea1feb6bbf5b893754531fa840b6e29115b19bb090ac81b,1.0,0.9991050362586975,1.168965241049591e-06,0.0027095251716673374,True
2,1,200,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00000200.pt,4c28b990448299d8a05d0ca2c631864205b48d3f551222d9a9882900c17c7356,748daa4755be45cc4c5c132a873e51ae924835a4b734b24a2876c5a4f47da3d0,50511f0197bc4d505eb5fef4c2375d658f759ff312698deacdb6dcac6b6678fd,1.0,0.019689003005623817,0.03513621166348457,18.318897247314453,True
2,2,3400,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00003400.pt,5a975af60473aa776049d8f364c39d3a9ed5bf68c238fc2a1ab1bb427c67623b,017b603b8a966b45d4fcf8cce6625204b514c7f9b7b8c1c5b6d899f8bd76ea25,85880c361a9e53435f06f37f70041ca39ff68220996c713b2f4bc73c6dfcbc45,1.0,0.0647723451256752,8.074421930359676e-05,18.218053817749023,True
2,3,7450,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00007450.pt,7ee748d8da0f7c41e0c8a782ee9a50b036e17ce4a1c714f9a41697ac3d2dd68e,2e86006ab3405d1d644f5cfe74034ca860ade93ffd2b0e4e1fea58bbe502c6e1,a8d18bcf3498ec69087f01ece1ab2c45bed3714b3f0dc78ede4a5df0174b246a,1.0,0.980422854423523,9.927847713697702e-06,0.06057431548833847,True
2,4,8150,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00008150.pt,56751cd8bf804bc1fdac8ead47872c6b9a69747c3dc29a1867b52611724ad27f,a0e896d16b4d93bc1c125f8ebc78e394a23f00bd18a858479bf41d1c75587a42,575ca97836990c5e7474cb90d7c66b1aa1598df8a8c303bead118e7edc63f93a,1.0,0.9994406700134277,0.00111161801032722,0.006903338246047497,True
2,5,8500,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00008500.pt,3e7464673bd24bf4073e61e6c4fa89748313a8da430b540e4c810305c0d26c6e,3ce2ba9a1930cb97a6c332fe55f41989f65c64a6f10d73363c0c07f50e22264a,ef9d204b2ca2c54e5796573c2de601c952572d4f8f6beb276dfdefbe6947af9b,1.0,0.9998881220817566,4.703634840552695e-05,0.000660449848510325,True
2,6,8650,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00008650.pt,3b3c50b4b91c710adb21da6526e21c70bfa00063beadb817022846a62a593cb4,d42bf4f537d69a237ee38807f5fccd2cf1c7004b3fe16b02966c155601ced417,e3a998d20198be85c74412d7c5b0b166463fef8bb418aa28a14c5e26ff7dd2e2,1.0,1.0,9.625519851397257e-06,0.00025186751736328006,True
2,7,9050,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00009050.pt,17505f71b05064da164d1f4ad0af83a1df287602aa0f9383beee580fee2a6594,c6f8e153cfd530f2ffb15d63c6d3c6f8c0b34a167bfaea566eeb1e135d4147cd,271cce69d848c9d4cb9f9c390c583009e21952cc0db4cd8be311dfa665203b10,1.0,1.0,3.026608226264216e-07,3.476173151284456e-05,True
3,1,200,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00000200.pt,fcadbb1d5ef8da3f834b38c8f641329bbcb43264eeef7496c19614d972fffb1b,311f4fc1c68a6937c5e4372ecc33e54e6536082a380baf9ef30e3d2c790875ce,995db2d3175bb0a1649ffe32072771e5c14d683c76de128cd97797419074a7f7,1.0,0.014319275505840778,0.03893602639436722,19.24421501159668,True
3,2,3400,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00003400.pt,7024abedc5bd45182fe32c2df242e94950d2c28fcd9678c281fe8814eed7ed9e,b03cd2620a1db91995342d5c6cd72d79466fdbaeeea12f7f9eba4ee24959bc9c,c9e42ff205b47383992879d3f550bd6eca5cfb7017a92f19fbc5549b84f9506d,1.0,0.038706790655851364,0.00019553817401174456,19.190797805786133,True
