record_type,model_seed,checkpoint_step,cell_id,circuit_i,circuit_j,jaccard_overlap,displayed_jaccard_cutoff,family_size,display_unit,independent_inference_unit
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C1,C4,0.26229508196721313,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C1,C5,0.23484848484848486,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C1,C6,0.3092369477911647,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C1,C7,0.27530364372469635,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C3,0.1118421052631579,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C4,0.22264150943396227,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C5,0.24817518248175183,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C6,0.22580645161290322,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C2,C7,0.23507462686567165,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C3,C4,0.12666666666666668,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C3,C5,0.19865319865319866,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C3,C6,0.24475524475524477,0.50,7,circuit_pair_within_trained_model,trained_model_seed
