fidelity_threshold,mask_id,retained_heads,retained_neurons,retained_components,exact_fidelity,ground_truth_accuracy,cross_entropy,addition_manifold_power,total_fourier_power,addition_manifold_fraction,correct_shift_rank,correct_shift_selectivity,dominant_canonical_frequency_pair,diagnostic_classification,retained_association_power,total_association_power,retained_association_fraction,highest_associated_retained_component,lowest_associated_retained_component
0.99,component-mask-d62afd57f53ac8a2,4,142,146,0.9900540371211528,0.9895841491111285,0.09248444461917989,63567920.14662546,86883198.91528714,0.7316480164203606,1,1448.5438332326848,56,clear_match,159708280.85450548,162849935.03573948,0.980708287169138,H1,N26
0.975,component-mask-cb9d546b33ccf08f,4,115,119,0.9750176208003759,0.974626047458689,0.15900301516753323,57970137.53702394,81584324.48700976,0.7105548510885105,1,1202.268408888012,56,clear_match,159626085.2303378,162849935.03573948,0.9802035548574571,H1,N426
0.95,component-mask-ba4d643e460c1823,4,104,108,0.950896702952463,0.9505834442791135,0.23088000813250406,53730272.89931846,74809311.98279567,0.7182297427314278,1,1264.8524747557713,56,clear_match,159514881.78911436,162849935.03573948,0.9795206964872709,H1,N171
0.9,component-mask-22fdcca7a085eaa0,4,78,82,0.9003054272065157,0.8999921685331662,0.3809693600525678,48747174.83906448,69011577.95978732,0.7063622696392944,1,1283.9041191208091,56,clear_match,159408715.21764362,162849935.03573948,0.9788687676335847,H1,N231
0.85,component-mask-28335ce85bbc2ec0,4,73,77,0.8512021301589788,0.8508888714856293,0.4973451098711865,47746421.78558964,68128361.52598374,0.700830325522792,1,1282.2337753575832,56,clear_match,159364791.5480882,162849935.03573948,0.978599048953342,H1,N231
0.8,component-mask-d48d88a7f165f829,4,60,64,0.8010024277547184,0.8006891690813689,0.6440917372098328,42110724.29438911,60875698.24380966,0.6917493434857032,1,1209.3754788540805,56,clear_match,159125971.59030935,162849935.03573948,0.9771325457107928,H1,N341
