stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,status,stopping_reason,family_size,eligible_for_matched_comparison,comparison_type,source_condition,target_condition,missing_side,exact_reason,source_family_empty,target_family_empty,no_valid_match_exists,metric_undefined,excluded_from_matched_effect,remains_in_primary_family_size_analysis,outcome_type,unavailable_control,undefined_metrics,handling
stage18-scaling-24a9adb84176,13,s0-step200-f39of40-d1of4,0,1,200,0.975,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f39of40-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,14,s0-step200-f39of40-d1of2,0,1,200,0.975,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f39of40-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,15,s0-step200-f39of40-d3of4,0,1,200,0.975,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f39of40-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,16,s0-step200-f99of100-d1of4,0,1,200,0.990,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f99of100-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,17,s0-step200-f99of100-d1of2,0,1,200,0.990,0.50,True,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f99of100-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,18,s0-step200-f99of100-d3of4,0,1,200,0.990,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step200-f99of100-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,19,s0-step3400-f4of5-d1of4,0,2,3400,0.800,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f4of5-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,20,s0-step3400-f4of5-d1of2,0,2,3400,0.800,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f4of5-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,21,s0-step3400-f4of5-d3of4,0,2,3400,0.800,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f4of5-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,22,s0-step3400-f17of20-d1of4,0,2,3400,0.850,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f17of20-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
