stage12_run_id,cell_id,checkpoint_step,distinctness_cutoff,requested_member_index,requested_member_label,restart_index,restart_used,unused_reason,seed_model_seed,seed_checkpoint_index,seed_family_member_index,seed_restart_index,seed_canonical_material,seed_sha256_digest,seed_integer,seed_bit_generator,outcome_status,accepted_candidate,search_status,stopping_reason,failure_detail,retained_component_count,primary_fidelity,maximum_pairwise_overlap_numerator,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap,exact_evaluation_budget,exact_evaluations_used,ranking_passes_used,candidate_batches_tested,rejected_candidate_count,budget_remaining,budget_exhausted,locally_single_deletion_minimal,meaningfully_sparse
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,3,C3,4,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,0,True,,1,7,4,0,circuit-families|stage12-diversity-search|model_seed=1|checkpoint_index=7|family_member_index=4|restart_index=0,beb7c8323a354015a8c959720ce22efc9508d07aa7ea0df30e5924d3d5a6ec33,3199715378,numpy.random.PCG64,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,162,0.9900540371211528,16,61,0.26229508196721313,10000,6402,355,401,6048,3598,False,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,1,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,2,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,3,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,4,C4,4,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,0,True,,1,7,5,0,circuit-families|stage12-diversity-search|model_seed=1|checkpoint_index=7|family_member_index=5|restart_index=0,7dd9ef1bc0f2cbed0ba239eb4a5d10a41755ae719e588e4a48f604da286a4cd5,2111434523,numpy.random.PCG64,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,180,0.9900540371211528,34,137,0.24817518248175183,10000,7108,337,445,6772,2892,False,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,1,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,2,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,3,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,5,C5,4,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,0,True,,1,7,6,0,circuit-families|stage12-diversity-search|model_seed=1|checkpoint_index=7|family_member_index=6|restart_index=0,11ad56173f0275a7354c549fcf1db6840e375173923cf86014b3d36d60409f95,296572439,numpy.random.PCG64,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,180,0.9900540371211528,77,249,0.3092369477911647,10000,6180,337,387,5844,3820,False,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,1,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,2,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,3,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,6,C6,4,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,0,True,,1,7,7,0,circuit-families|stage12-diversity-search|model_seed=1|checkpoint_index=7|family_member_index=7|restart_index=0,1799a12cebc92cd17308de9d8cc317043ab0d50531ee23f630c1433c2655dc61,395944236,numpy.random.PCG64,valid_distinct_candidate,True,valid_sparse_circuit,locally_single_deletion_minimal_sparse_mask,,169,0.9901323517894902,68,247,0.27530364372469635,10000,6217,348,389,5870,3783,False,True,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,1,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,2,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,3,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,7,C7,4,False,earlier_valid_distinct_candidate,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,8,C8,0,True,,1,7,8,0,circuit-families|stage12-diversity-search|model_seed=1|checkpoint_index=7|family_member_index=8|restart_index=0,518bbec1ebf1f1d43949c41300f885c8436d44d07adae7e1ce757d15074be04d,1368112833,numpy.random.PCG64,budget_exhaustion,False,budget_exhaustion,budget_exhausted_inside_candidate_batch,,179,0.9902106664578275,77,278,0.27697841726618705,5801,5801,338,363,5464,0,True,False,True
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,8,C8,1,False,no_cell_budget_remaining,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,8,C8,2,False,no_cell_budget_remaining,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,8,C8,3,False,no_cell_budget_remaining,,,,,,,,,,False,,,,,,,,,,,,,,,,,
stage12-diversity-s1-020ebf1b5814,cutoff-0.75,9050,0.75,8,C8,4,False,no_cell_budget_remaining,,,,,,,,,,False,,,,,,,,,,,,,,,,,
