stage14_run_id,main_model_reference_phase_label,phase_label_scope,requested_step,selected_random_label_step,absolute_step_mismatch,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256,reload_verified,train_accuracy,test_accuracy,train_cross_entropy,test_cross_entropy
stage14-random-label-training-s0-df790c07a988,pre-grokking,main_model_reference_only,200,200,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00000200.pt,a55c731765d2050ca918f905fd1a1ebeba2444ed86071194a905349bf7e3cdda,5d3d174238158f63837d110c3d47d59469e2a40e9cc97c5edc4b27dcb7f0e29d,de2d504c4435802186bb6530418a6278e969527b67359b4a5c4fbbb7087972bf,True,1.0,0.008613938465714455,0.09218858182430267,18.419525146484375
stage14-random-label-training-s0-df790c07a988,10%,main_model_reference_only,3400,3400,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00003400.pt,d23b723dde1eab1166e4c889e3db46b36438ee850294e12d62f2b99f439528f2,9f6a9cd09b191229b4f99bedbb7a55ffb1e8f606e30da9ee2415270032a9430b,f58bb9d4a14d1fc4dc396b7ac94a8224c92eb759c00d22609b033e8b47694056,True,1.0,0.00827833078801632,0.0004341111343819648,21.917863845825195
stage14-random-label-training-s0-df790c07a988,25%,main_model_reference_only,7450,7450,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00007450.pt,603935a863d5668fa54d38b9a971c0b3e45abb942a3762d75501dd6e2e71da02,bd5c63e0c374f92f4333b0bfded482a04c823570aa55bdcbc2980644940c7b7d,4f1411087354571b91ca5aa4da5b80b77a2f3448a1c31255964dd7ba77c7e702,True,1.0,0.010515717789530754,1.7156833564513363e-05,27.34349822998047
stage14-random-label-training-s0-df790c07a988,50%,main_model_reference_only,8150,8150,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00008150.pt,f8ae2f048c8ab9d77a1ff77e13f2f348a2095423cbe6a4d5b78059ebce9f8e45,cadd73a0923b1808a683a584810a65f9d9b0b9ff4fd6839ace5a8208a0394c3a,751b9eb8605a365053742bb960ea0b780a37e360dfb8dfda2ba26fcbf0cdd1ef,True,1.0,0.01029197871685028,0.005966304335743189,15.424567222595215
stage14-random-label-training-s0-df790c07a988,75%,main_model_reference_only,8500,8500,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00008500.pt,b851cb153a857d4d120195419b2fea2e3ee0e0db37cc039878fa6455ccae0a7f,2d2b61278e4b38e9a6eaf5c6b7d2ad24a317c9bee8d0467c2ab6330e71cbf0ce,c6abbbedcc23f851344ded161e5f9fab394495fbd80acf69e9d43e9e3f554246,True,1.0,0.01029197871685028,0.00017614709213376045,22.477142333984375
stage14-random-label-training-s0-df790c07a988,90%,main_model_reference_only,8650,8650,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00008650.pt,ecefff2a3644581b1bf7a48f9a901e398531f39258bb0890a78202220b4196ba,f2f1c3c48aad9dd2d19d8d64a5717c83aebe4f0ef8ff22ea9decda2e5b7231ac,12bd38595782f384b140a9496afc78d99e3b778cf0a674072ca0b29f1d1e15e3,True,1.0,0.010068240575492382,3.796069722739048e-05,25.54132080078125
stage14-random-label-training-s0-df790c07a988,stable post-grokking,main_model_reference_only,9050,9050,0,checkpoints/stage14-random-label-training-s0-df790c07a988/step_00009050.pt,195a9efc1a9bd69cbbe46e892daaf4ec1709883b86469fbdbb035e75fc11b67c,1236e12d8453ac6448eec8eebc39d295ca0ad9812fb3b36f6069d0fdbb7ed724,f24284a833e45de8acbe7b4b605471da4539d0a37098d3035162a2a20be35c33,True,1.0,0.010403848253190517,9.92237801256124e-07,32.36903762817383
