stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C4,C5,4,5,29,124,29,124,0.23387096774193547,0.7661290322580645,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C4,C6,4,6,25,128,25,128,0.1953125,0.8046875,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C5,C6,5,6,31,111,31,111,0.27927927927927926,0.7207207207207207,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C1,C2,1,2,20,139,20,139,0.14388489208633093,0.8561151079136691,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C2,1,2,20,139,20,139,0.14388489208633093,0.8561151079136691,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C3,1,3,30,114,5,19,0.2631578947368421,0.736842105263158,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C4,1,4,32,116,8,29,0.27586206896551724,0.7241379310344828,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C5,1,5,35,114,35,114,0.30701754385964913,0.6929824561403508,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C6,1,6,28,117,28,117,0.23931623931623933,0.7606837606837606,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C3,2,3,21,128,21,128,0.1640625,0.8359375,True
