fraction,exact_training_example_count,required_horizon,selection_rank,first_train_accuracy_step,criterion1_reached_by_step_5000,persistence_numerator,persistence_denominator,persistence_proportion,criterion2_persistence,maximum_test_accuracy,maximum_test_accuracy_step,criterion3_test_accuracy_ceiling,mean_test_accuracy_final_window,mean_test_accuracy_preceding_window,test_accuracy_window_difference,criterion4_test_accuracy_plateau,test_cross_entropy_at_4050,test_cross_entropy_at_9050,test_cross_entropy_fractional_fall,criterion5_test_loss_plateau,overall_qualification,selected_control
0.25,3192,9050,1,200,true,174,177,0.9830508474576272,true,0.06454860419034958,9000,true,0.061992392502725126,0.05425662826746702,0.007735764235258104,true,21.967317581176758,19.117631912231445,0.12972387996007018,false,false,false
0.2,2553,9050,2,200,true,174,177,0.9830508474576272,true,0.015437968075275421,4850,true,0.01144423307850957,0.012104262225329876,-0.0006600291468203068,true,35.91190719604492,28.79105567932129,0.19828664286334172,false,false,false
0.15,1915,9050,3,150,true,175,178,0.9831460674157303,true,0.01085132546722889,1500,true,0.008585971547290683,0.009190066112205386,-0.0006040945649147033,true,26.90032196044922,18.112342834472656,0.3266867637828752,false,false,false
0.1,1276,9050,4,150,true,176,178,0.9887640449438202,true,0.021478911861777306,150,true,0.010549278371036053,0.010840138653293252,-0.0002908602822571996,true,43.07728958129883,19.750473022460938,0.5415107771535556,false,false,false
0.05,638,9050,5,100,true,175,179,0.9776536312849162,true,0.014990490861237049,50,true,0.005744490493088961,0.005492784408852458,0.00025170608423650284,true,45.713279724121094,22.519245147705078,0.5073806717958467,false,false,false
