stage16_run_id,circuit_id,source_family,discovery_domain,evaluation_subset,subset_example_count,prediction_agreement_count,fidelity,correct_prediction_count,ground_truth_accuracy,cross_entropy,kl_divergence,jensen_shannon_divergence,retained_component_count,mask_sha256,checkpoint_sha256,model_state_sha256_before,model_state_sha256_after,hook_count_before,hook_count_after
stage16-transfer-s1-cc55bd4162c8,C3,cutoff-0.50,global,Q4,3136,3100,0.9885204081632653,3098,0.9878826530612245,0.0928731212089902,0.08936090580114904,0.02836385600603674,176,dbfc7307c1efba08ed4ade41846aba0f29a70772b57c4c1795240b2434276c51,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C4,cutoff-0.50,global,Q1,3249,3223,0.9919975377039089,3221,0.9913819636811326,0.07842905269397207,0.07404225810522663,0.02393456852447804,162,3cb82a970a29fb0980e533af7a41716fd0898ca40fb7833a0ab203067b4d004d,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C4,cutoff-0.50,global,Q2,3192,3161,0.9902882205513784,3161,0.9902882205513784,0.08569803929075442,0.08307220166644447,0.026611594109357713,162,3cb82a970a29fb0980e533af7a41716fd0898ca40fb7833a0ab203067b4d004d,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C4,cutoff-0.50,global,Q3,3192,3161,0.9902882205513784,3161,0.9902882205513784,0.08612439023189643,0.08340981134756675,0.026631505594282106,162,3cb82a970a29fb0980e533af7a41716fd0898ca40fb7833a0ab203067b4d004d,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C4,cutoff-0.50,global,Q4,3136,3097,0.9875637755102041,3095,0.9869260204081632,0.09349342445946225,0.09060250949858246,0.028692330620009414,162,3cb82a970a29fb0980e533af7a41716fd0898ca40fb7833a0ab203067b4d004d,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C5,cutoff-0.50,global,Q1,3249,3225,0.9926131117266851,3221,0.9913819636811326,0.07894088706561779,0.07400001103873362,0.02318950842244695,180,55c66cb74d9d515b14a01b881a001552e7d7b53fefd252d740c45197b345ba12,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C5,cutoff-0.50,global,Q2,3192,3170,0.9931077694235589,3169,0.9927944862155389,0.08527420280691238,0.08255323658725768,0.026603623718968215,180,55c66cb74d9d515b14a01b881a001552e7d7b53fefd252d740c45197b345ba12,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C5,cutoff-0.50,global,Q3,3192,3167,0.9921679197994987,3166,0.9918546365914787,0.08674960969836948,0.08403607620901164,0.02702874669288069,180,55c66cb74d9d515b14a01b881a001552e7d7b53fefd252d740c45197b345ba12,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C5,cutoff-0.50,global,Q4,3136,3080,0.9821428571428571,3080,0.9821428571428571,0.10559343704422339,0.1024667760543742,0.03114496033548135,180,55c66cb74d9d515b14a01b881a001552e7d7b53fefd252d740c45197b345ba12,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C6,cutoff-0.50,global,Q1,3249,3227,0.9932286857494613,3223,0.9919975377039089,0.0752142319884161,0.07072921658917299,0.02254468400011674,180,227ef2b8a41f6d781e5758da5896d753e401157322a473abcaf8f43dbf66b1da,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C6,cutoff-0.50,global,Q2,3192,3167,0.9921679197994987,3166,0.9918546365914787,0.0835657948155749,0.08105549050674826,0.026089858423262842,180,227ef2b8a41f6d781e5758da5896d753e401157322a473abcaf8f43dbf66b1da,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C6,cutoff-0.50,global,Q3,3192,3164,0.9912280701754386,3165,0.9915413533834586,0.08346221613499268,0.08101250389874347,0.02609793821114111,180,227ef2b8a41f6d781e5758da5896d753e401157322a473abcaf8f43dbf66b1da,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C6,cutoff-0.50,global,Q4,3136,3084,0.9834183673469388,3084,0.9834183673469388,0.10638295822794515,0.10409377495503178,0.03231506501123191,180,227ef2b8a41f6d781e5758da5896d753e401157322a473abcaf8f43dbf66b1da,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C7,cutoff-0.50,global,Q1,3249,3219,0.9907663896583564,3215,0.9895352416128039,0.08706688671274407,0.08277781882113883,0.026428264004243158,169,409f76bbb29e8f6393ba3edc896c0d17d09d2319fbca8a61b1ab834e8b707604,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C7,cutoff-0.50,global,Q2,3192,3164,0.9912280701754386,3163,0.9909147869674185,0.09196678719408033,0.08906596921852163,0.02841752779481136,169,409f76bbb29e8f6393ba3edc896c0d17d09d2319fbca8a61b1ab834e8b707604,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C7,cutoff-0.50,global,Q3,3192,3164,0.9912280701754386,3163,0.9909147869674185,0.09232177753588708,0.0893817181987122,0.028506602789348176,169,409f76bbb29e8f6393ba3edc896c0d17d09d2319fbca8a61b1ab834e8b707604,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
stage16-transfer-s1-cc55bd4162c8,C7,cutoff-0.50,global,Q4,3136,3096,0.9872448979591837,3096,0.9872448979591837,0.09896791837920205,0.0952903297490868,0.03004815741797041,169,409f76bbb29e8f6393ba3edc896c0d17d09d2319fbca8a61b1ab834e8b707604,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,18c66dc1802016a1bdf888070e87ebc615a98d7d1fb310613be0a7abdeccc72b,0,0
