cell_id,cell_index,circuit_id,distinctness_denominator,distinctness_numerator,fidelity_denominator,fidelity_numerator,q1_accuracy,q1_cross_entropy,q1_fidelity,q1_jensen_shannon_divergence,q1_kl_divergence,q2_accuracy,q2_cross_entropy,q2_fidelity,q2_jensen_shannon_divergence,q2_kl_divergence,q3_accuracy,q3_cross_entropy,q3_fidelity,q3_jensen_shannon_divergence,q3_kl_divergence,q4_accuracy,q4_cross_entropy,q4_fidelity,q4_jensen_shannon_divergence,q4_kl_divergence,source_run_id,source_stage,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f4of5-d1of4,37,C1,4,1,5,4,0.7928593413357956,1.3851678558702962,0.7931671283471837,0.35377166018654754,1.3828390059277769,0.8032581453634086,1.333979062595986,0.8032581453634086,0.3475545185348509,1.3321944514229977,0.8032581453634086,1.3349036546885025,0.8032581453634086,0.3476876015500644,1.3331161794511783,0.8220663265306123,1.2894822670518342,0.8220663265306123,0.33513148063383946,1.287518967648348,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of4,37,C2,4,1,5,4,0.8051708217913204,1.367021824021687,0.8054786088027085,0.35448180013999836,1.3648314512598194,0.8236215538847118,1.3747411540296293,0.8236215538847118,0.3588111416117538,1.3730538196489448,0.8239348370927319,1.3752082677991049,0.8239348370927319,0.3588870444730681,1.3734944254932528,0.7758290816326531,1.4262539445774804,0.7758290816326531,0.36367229897839526,1.4242023796523797,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of4,37,C3,4,1,5,4,0.8094798399507541,1.471944561837572,0.809172052939366,0.3753474888650637,1.4701639578163752,0.8032581453634086,1.4723125359307236,0.8032581453634086,0.37576470851144267,1.4705715111481903,0.8057644110275689,1.4733582408716528,0.8057644110275689,0.3759113918308036,1.4716149800796094,0.7914540816326531,1.4452393459612314,0.7914540816326531,0.3694412959222824,1.44324730882749,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of2,38,C1,2,1,5,4,0.7928593413357956,1.3851678558702962,0.7931671283471837,0.35377166018654754,1.3828390059277769,0.8032581453634086,1.333979062595986,0.8032581453634086,0.3475545185348509,1.3321944514229977,0.8032581453634086,1.3349036546885025,0.8032581453634086,0.3476876015500644,1.3331161794511783,0.8220663265306123,1.2894822670518342,0.8220663265306123,0.33513148063383946,1.287518967648348,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C2,2,1,5,4,0.8051708217913204,1.367021824021687,0.8054786088027085,0.35448180013999836,1.3648314512598194,0.8236215538847118,1.3747411540296293,0.8236215538847118,0.3588111416117538,1.3730538196489448,0.8239348370927319,1.3752082677991049,0.8239348370927319,0.3588870444730681,1.3734944254932528,0.7758290816326531,1.4262539445774804,0.7758290816326531,0.36367229897839526,1.4242023796523797,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C3,2,1,5,4,0.8094798399507541,1.471944561837572,0.809172052939366,0.3753474888650637,1.4701639578163752,0.8032581453634086,1.4723125359307236,0.8032581453634086,0.37576470851144267,1.4705715111481903,0.8057644110275689,1.4733582408716528,0.8057644110275689,0.3759113918308036,1.4716149800796094,0.7914540816326531,1.4452393459612314,0.7914540816326531,0.3694412959222824,1.44324730882749,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C4,2,1,5,4,0.8174823022468451,1.3969934167186755,0.8177900892582333,0.3621609519238943,1.394943412979242,0.7973057644110275,1.3987844883146834,0.7973057644110275,0.36363497337666023,1.3969988482362383,0.7969924812030075,1.3994249665717546,0.7969924812030075,0.3637215489390911,1.3976442674863476,0.7885841836734694,1.3775666882964064,0.7885841836734694,0.3562411831463782,1.3755202577220709,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C5,2,1,5,4,0.8134810710987996,1.484992356266323,0.8137888581101878,0.37836237879577195,1.483008714009245,0.806704260651629,1.5032178469966246,0.806704260651629,0.38331638559066505,1.501454647923388,0.8088972431077694,1.5035912293898768,0.8088972431077694,0.38333552621099587,1.5018158290059047,0.8013392857142857,1.5127409852824971,0.8013392857142857,0.38179285479804537,1.5107807221226108,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C6,2,1,5,4,0.8387196060326254,1.3819875794076744,0.8390273930440135,0.35787015499030583,1.3798526543155014,0.818922305764411,1.416911657980146,0.818922305764411,0.3656867934127728,1.4150562068665713,0.8173558897243107,1.4169801473640895,0.8173558897243107,0.3656590801227796,1.4151364511461288,0.7860331632653061,1.459640071022904,0.7860331632653061,0.3694636594486002,1.4575283970310808,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d3of4,39,C1,4,3,5,4,0.7928593413357956,1.3851678558702962,0.7931671283471837,0.35377166018654754,1.3828390059277769,0.8032581453634086,1.333979062595986,0.8032581453634086,0.3475545185348509,1.3321944514229977,0.8032581453634086,1.3349036546885025,0.8032581453634086,0.3476876015500644,1.3331161794511783,0.8220663265306123,1.2894822670518342,0.8220663265306123,0.33513148063383946,1.287518967648348,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,39,C2,4,3,5,4,0.8051708217913204,1.367021824021687,0.8054786088027085,0.35448180013999836,1.3648314512598194,0.8236215538847118,1.3747411540296293,0.8236215538847118,0.3588111416117538,1.3730538196489448,0.8239348370927319,1.3752082677991049,0.8239348370927319,0.3588870444730681,1.3734944254932528,0.7758290816326531,1.4262539445774804,0.7758290816326531,0.36367229897839526,1.4242023796523797,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,39,C3,4,3,5,4,0.8094798399507541,1.471944561837572,0.809172052939366,0.3753474888650637,1.4701639578163752,0.8032581453634086,1.4723125359307236,0.8032581453634086,0.37576470851144267,1.4705715111481903,0.8057644110275689,1.4733582408716528,0.8057644110275689,0.3759113918308036,1.4716149800796094,0.7914540816326531,1.4452393459612314,0.7914540816326531,0.3694412959222824,1.44324730882749,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,39,C4,4,3,5,4,0.8174823022468451,1.3969934167186755,0.8177900892582333,0.3621609519238943,1.394943412979242,0.7973057644110275,1.3987844883146834,0.7973057644110275,0.36363497337666023,1.3969988482362383,0.7969924812030075,1.3994249665717546,0.7969924812030075,0.3637215489390911,1.3976442674863476,0.7885841836734694,1.3775666882964064,0.7885841836734694,0.3562411831463782,1.3755202577220709,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,39,C5,4,3,5,4,0.8134810710987996,1.484992356266323,0.8137888581101878,0.37836237879577195,1.483008714009245,0.806704260651629,1.5032178469966246,0.806704260651629,0.38331638559066505,1.501454647923388,0.8088972431077694,1.5035912293898768,0.8088972431077694,0.38333552621099587,1.5018158290059047,0.8013392857142857,1.5127409852824971,0.8013392857142857,0.38179285479804537,1.5107807221226108,,,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
