weight_name,canonical_frequency_pair,raw_pair_power,normalized_pair_power,descending_rank
token_embedding_W_E,1,37.534889812364696,0.10428043558238564,5
token_embedding_W_E,2,0.9211634909617512,0.0025592010676008066,53
token_embedding_W_E,3,46.32442711421925,0.12869976338611563,4
token_embedding_W_E,4,1.048724130410277,0.0029135934505638695,46
token_embedding_W_E,5,11.388750400965234,0.03164053120945884,7
token_embedding_W_E,6,5.418514280773031,0.015053861413554817,9
token_embedding_W_E,7,2.216863195945476,0.006158948670300884,13
token_embedding_W_E,8,1.3816686975219037,0.0038385889589229207,29
token_embedding_W_E,9,1.6419408179346848,0.004561683930621894,19
token_embedding_W_E,10,1.4970675433047385,0.004159193121186224,23
token_embedding_W_E,11,1.3238676183002536,0.0036780044534535567,31
token_embedding_W_E,12,0.9491166062201193,0.002636861160639551,52
token_embedding_W_E,13,1.3127077835125918,0.0036469999017284182,32
token_embedding_W_E,14,1.1503978880432268,0.0031960662055463347,39
token_embedding_W_E,15,1.0276521916071153,0.002855050826143131,49
token_embedding_W_E,16,1.063211340197216,0.0029538422045766693,45
token_embedding_W_E,17,55.16064238733553,0.15324877317904578,2
token_embedding_W_E,18,1.1257940518674876,0.003127711169305931,41
token_embedding_W_E,19,1.489426189644845,0.004137963707910306,24
token_embedding_W_E,20,19.755353737498954,0.05488485254995651,6
token_embedding_W_E,21,1.5446461340419126,0.004291377235520141,22
token_embedding_W_E,22,1.1582953730517163,0.0032180072097908533,38
token_embedding_W_E,23,2.379081811788517,0.006609628770981812,12
token_embedding_W_E,24,0.824407448634335,0.0022903908409138765,55
token_embedding_W_E,25,1.2882476553542637,0.0035790441189486543,33
token_embedding_W_E,26,1.5670535554910574,0.004353630133575143,20
token_embedding_W_E,27,1.393840830363485,0.003872405904197891,28
token_embedding_W_E,28,1.6554066182767937,0.0045990949775747475,18
token_embedding_W_E,29,1.4186133216751822,0.003941229502651447,27
token_embedding_W_E,30,1.2828979701412613,0.0035641814802935446,35
token_embedding_W_E,31,1.090231803299081,0.0030289111784296855,44
token_embedding_W_E,32,1.0461483570908052,0.0029064373681813517,47
token_embedding_W_E,33,1.557709170539665,0.004327669313179723,21
token_embedding_W_E,34,6.59688916193474,0.01832765405025001,8
token_embedding_W_E,35,0.968704352739161,0.0026912803623288057,51
token_embedding_W_E,36,0.8781609893385076,0.0024397303665325202,54
token_embedding_W_E,37,1.4736764404864158,0.004094207333220928,25
token_embedding_W_E,38,1.1217422460746396,0.0031164543339965533,42
token_embedding_W_E,39,2.009869419470262,0.005583873019843863,14
token_embedding_W_E,40,1.6770060140399283,0.004659102997040254,17
token_embedding_W_E,41,1.7398277879972737,0.004833636131014504,15
token_embedding_W_E,42,1.1426814058576034,0.003174628068189249,40
token_embedding_W_E,43,1.0233217798856522,0.002843019960385361,50
token_embedding_W_E,44,1.6875764969950502,0.004688470195728904,16
token_embedding_W_E,45,5.141286973213813,0.014283661087081926,10
token_embedding_W_E,46,1.4413762579774296,0.004004470101587493,26
token_embedding_W_E,47,0.8166239187364777,0.00226876642980798,56
token_embedding_W_E,48,46.66458163959305,0.1296447897935094,3
token_embedding_W_E,49,1.201224012074916,0.0033372727038065994,36
token_embedding_W_E,50,1.10554597457732,0.0030714574189930973,43
token_embedding_W_E,51,2.9569540306332183,0.00821508883742469,11
token_embedding_W_E,52,1.284411843059355,0.0035683873625568033,34
token_embedding_W_E,53,1.1638778383251895,0.0032335165642408447,37
