component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N0,0,6.68916391093887,87.59099351123974,False,1118449.3961450204,134325.93866324401,0.12010014858627278,48
N1,1,9.133062677541767,157.9235529789768,False,2016525.8479885545,217090.506040084,0.1076557021357438,56
N2,2,3.9603612886329613,22.76253961142243,False,290654.8682982529,30020.080720636382,0.10328428660562307,56
N3,3,1.755130696885328,4.960620523018351,False,63342.16345842129,5474.430326742368,0.08642632376041061,17
N4,4,5.102035798917696,49.177491301747835,False,627947.3864320179,73856.46996892692,0.11761569769177259,17
N5,5,4.4727866203217275,46.095721871207274,False,588596.2725734456,67849.8080687734,0.1152739343253436,17
N6,6,1.420215580488908,4.805402926097515,False,61360.18996333917,1963.3791259058114,0.031997605077149695,3
N7,7,3.891864143486901,31.67323209241836,False,404435.50058809004,43779.64867279483,0.10824877788704207,1
N8,8,2.3134110310434637,12.603805320822094,False,160937.99014157732,11387.983672613303,0.07076007139517079,1
N9,9,2.685355035716057,6.9895242253793635,False,89249.2348338691,9086.287850621811,0.10180801961535323,17
N10,10,1.2333955563491343,3.2143021108917846,False,41043.4236539772,1187.943245504814,0.0289435709730248,1
N11,11,4.794624799083235,43.74120647825107,False,558531.4655207879,60641.53888721917,0.1085731827671975,56
N12,12,5.134681343974554,50.485924340228216,False,644654.7679003738,71380.97898477073,0.11072745062796477,56
N13,13,4.457046955296487,38.276830457550645,False,488756.84811246407,54865.79007627363,0.11225579812980725,3
N14,14,1.7207921159605684,6.141704744222385,False,78423.42787897565,4294.735588759237,0.05476342599289264,20
N15,15,5.03305511684411,56.32281720753693,False,719186.052923039,83680.02913347742,0.1163537985662691,1
N16,16,2.0046919736206066,8.3972836987616,False,107224.91554948685,8401.756703199198,0.07835638442934084,1
N17,17,2.005005126805405,6.064937763072516,False,77443.19029667294,5982.584535442755,0.07725126654163386,56
N18,18,4.646829907333955,43.9247851279047,False,560875.581298215,61220.638139001094,0.10915190495064601,17
N19,19,5.861560399909273,68.74223643348779,False,877769.6170192054,96248.03113220376,0.10965067514987578,48
N20,20,1.5786710122529983,3.562154825040596,False,45485.15496094337,1681.6363757675626,0.036971103587786595,17
N21,21,1.6927407371805332,6.842452729152035,False,87371.27889854237,7444.14227880927,0.08520125117378202,20
N22,22,9.690728239073257,194.84903082330368,False,2488027.274582764,301076.192506948,0.121010004826992,56
N23,23,3.018367180068736,15.176075716684334,False,193783.31082634223,7917.84930498648,0.040859294183914596,3
N24,24,1.9874060365944854,8.089104777193384,False,103289.7788999823,3998.9082921170743,0.03871543084615665,56
N25,25,5.353118766079093,44.163463721952034,False,563923.2682656056,50755.80439022831,0.09000480605514319,56
N26,26,0.907717541079646,2.030640460749931,False,25929.24804331587,408.991934768339,0.01577338201574921,3
N27,27,1.9198866529490894,6.816909388210081,False,87045.11597805453,2743.657618190506,0.03151994902140433,20
N28,28,2.1405337957129387,9.800385013596793,False,125141.11623861748,9080.82402697143,0.07256467178745817,20
