cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,model_seed,checkpoint_step,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance,stage18_run_id,checkpoint_index,global_cell_index
21,s0-step3400-f4of5-d3of4,4,5,0.800,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,2786,51,1,0,1,47214,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,21
22,s0-step3400-f17of20-d1of4,17,20,0.850,1,4,0.25,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1626,27,1,0,1,48374,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,22
23,s0-step3400-f17of20-d1of2,17,20,0.850,1,2,0.50,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1626,27,1,0,1,48374,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,23
24,s0-step3400-f17of20-d3of4,17,20,0.850,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,1626,27,1,0,1,48374,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,24
25,s0-step3400-f9of10-d1of4,9,10,0.900,1,4,0.25,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,684,9,1,0,1,49316,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,25
26,s0-step3400-f9of10-d1of2,9,10,0.900,1,2,0.50,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,684,9,1,0,1,49316,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,26
27,s0-step3400-f9of10-d3of4,9,10,0.900,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,684,9,1,0,1,49316,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,27
28,s0-step3400-f19of20-d1of4,19,20,0.950,1,4,0.25,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,561,4,1,0,1,49439,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,28
29,s0-step3400-f19of20-d1of2,19,20,0.950,1,2,0.50,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,561,4,1,0,1,49439,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,29
30,s0-step3400-f19of20-d3of4,19,20,0.950,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,561,4,1,0,1,49439,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,30
31,s0-step3400-f39of40-d1of4,39,40,0.975,1,4,0.25,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,738,3,1,0,1,49262,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,31
32,s0-step3400-f39of40-d1of2,39,40,0.975,1,2,0.50,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,738,3,1,0,1,49262,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,32
33,s0-step3400-f39of40-d3of4,39,40,0.975,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,738,3,1,0,1,49262,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,33
34,s0-step3400-f99of100-d1of4,99,100,0.990,1,4,0.25,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,611,2,1,0,1,49389,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,34
35,s0-step3400-f99of100-d1of2,99,100,0.990,1,2,0.50,0,3400,True,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,611,2,1,0,1,49389,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,35
36,s0-step3400-f99of100-d3of4,99,100,0.990,3,4,0.75,0,3400,False,fresh_execution,,,0,10,False,not_right_censored,sparsity_failure,requested_member_1_sparsity_failure,611,2,1,0,1,49389,,not_applicable_empty_family,0,,,,,,,,,stage18-scaling-24a9adb84176,2,36
