model_seed,checkpoint_step,metric,trajectory_value,value_status,undefined_reason,trajectory_definition,independent_unit
1,7450,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,7450,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,7450,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,7450,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
1,8150,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,8150,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8150,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8150,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8150,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8150,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,8150,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
1,8500,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,8500,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8500,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8500,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8500,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8500,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
1,8500,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
1,8650,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
1,8650,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8650,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8650,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
1,8650,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
