comparison_type,comparison_label,model_seed,left_checkpoint_step,right_checkpoint_step,left_phase_label,right_phase_label,phase_alignment_status
adjacent_landmarks,adjacent_grid_3_to_4,3,7450,8150,transition,transition,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_4_to_5,3,8150,8500,transition,transition,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_5_to_6,3,8500,8650,transition,transition,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_6_to_7,3,8650,9050,transition,transition,not_applicable_adjacent
pre_to_post,pre_to_post,4,200,9050,delayed_pre_generalisation,stable_post,phase_aligned
pre_to_transition,pre_to_grid_2,4,200,3400,delayed_pre_generalisation,delayed_pre_generalisation,phase_misaligned
pre_to_transition,pre_to_grid_3,4,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned
pre_to_transition,pre_to_grid_4,4,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned
pre_to_transition,pre_to_grid_5,4,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned
pre_to_transition,pre_to_grid_6,4,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned
transition_to_post,grid_2_to_post,4,3400,9050,delayed_pre_generalisation,stable_post,phase_misaligned
transition_to_post,grid_3_to_post,4,7450,9050,stable_post,stable_post,phase_misaligned
transition_to_post,grid_4_to_post,4,8150,9050,stable_post,stable_post,phase_misaligned
transition_to_post,grid_5_to_post,4,8500,9050,stable_post,stable_post,phase_misaligned
transition_to_post,grid_6_to_post,4,8650,9050,stable_post,stable_post,phase_misaligned
adjacent_landmarks,adjacent_grid_1_to_2,4,200,3400,delayed_pre_generalisation,delayed_pre_generalisation,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_2_to_3,4,3400,7450,delayed_pre_generalisation,stable_post,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_3_to_4,4,7450,8150,stable_post,stable_post,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_4_to_5,4,8150,8500,stable_post,stable_post,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_5_to_6,4,8500,8650,stable_post,stable_post,not_applicable_adjacent
adjacent_landmarks,adjacent_grid_6_to_7,4,8650,9050,stable_post,stable_post,not_applicable_adjacent
