fraction,exact_training_example_count,subset_identifier,subset_sha256,run_id,training_git_commit,device,training_step,learning_rate,weight_norm,gradient_norm,train_loss,test_loss,train_accuracy,test_accuracy,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,1750,0.001,47.218353271484375,0.005227891728281975,0.003691269550472498,20.394567489624023,1.0,0.00962076336145401,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00001750.pt,73b990e6dfceffcf9432ac4cc9e1daa368cb8acc161009167e1cb80bb565d1d7,8178ca3665e94cc7cd2db9658bc4941204d50b8b6687c5a21245aa2b60646e55,6926c7278a63e1551e03e857baa7744b6876ae831363113a5ecb652ea81720e3
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,1800,0.001,47.9078483581543,0.0034026040229946375,0.0022263468708842993,21.705326080322266,1.0,0.009844501502811909,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00001800.pt,41aec2ae95ba588ba215813067f0162e106d16f028d9ef9169b3b35f747e2567,430b89a089d20f5970c506a42cfdeaa38f7962ae139535ecfe9feed1c5a9ef74,332164d12764a62df34689c5d2d4b969124061016f2628979a0140c2badb9a6f
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,1850,0.001,48.56414794921875,0.0020972993224859238,0.001329669845290482,23.032501220703125,1.0,0.009844501502811909,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00001850.pt,fede0fdee4eca485230931834023341ed788af332d74bf170a89865b04d2f19f,ed79d37f53b7fc4716e2f58ea4fc80627bcf47e4703a44753bf91fb4ed1e30ac,e4a1f76805e493a5282b5feebaa4db93191154dcfad9e79c103b4a9debe72e2c
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,1900,0.001,49.1867561340332,0.0013107797130942345,0.0007904744707047939,24.372459411621094,1.0,0.009844501502811909,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00001900.pt,a81830db244e770e4a61f4a096696d5f1e3e44ea6c6f982f2b4dd669953ea5c0,f2e3e979606844ff6137ef0bba9c90cffa314c2c2fee0aa746d6396dc8deaba1,11d373bb40b4bf7f786f60bf7a3ea1ae616e7422f7912fa003a2bfe1d77628d1
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,1950,0.001,49.77060317993164,0.0008398508070968091,0.000468602345790714,25.715904235839844,1.0,0.009844501502811909,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00001950.pt,6feea8afc328c04d381b14d897acd6f16098db6dbf7fc9fc175966415a5a3fba,def2f3ea41abe6608b6a1d3c51b3d5e797da14555b096088f2e44624c8b4e767,dfbba15355ee1366144667f5dfa37a0a1fec45e9a7d1177eea47f6318e76d59b
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2000,0.001,50.308349609375,0.0005489001050591469,0.00027746474370360374,27.06125831604004,1.0,0.010068240575492382,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002000.pt,f323003e6d3214440ddc4f2020784f567e1c4f376a4f24a2e72da94afc525597,bc8df1a23aa1ad0c8c358ec78c4b76710797958acab4f0e562369716d0882921,f93c8e902593b7f2006bf259c9672d3084c1fe619608b49f9e7c850d5c2d6d84
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2050,0.001,50.79450607299805,0.00033043065923266113,0.00016426920774392784,28.408044815063477,1.0,0.01029197871685028,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002050.pt,9a3b718cc52356c9cd0ce740ed0d446b11b1192c0844bda8903502e1dbf42d45,2e5ab85a231b16da3128cdce9d72edf4eb491cc298bb03b7c546911864488a4a,7d9aebc70478590958eab5e057ea1e88a3b9c41a51fc5b331736c12fe7a79205
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2100,0.001,51.22464370727539,0.00022896844893693924,9.729677549330518e-05,29.751121520996094,1.0,0.010068240575492382,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002100.pt,ca1c5be040a0d4ce0ccca7b6d050b2f752370533dceaca276ac2b3f4e8275348,0a83b54440f4a632530200ec0defac6ae49273d415a7d587aab0e1f53426bf9e,01594d2076eb432cf83de3cb027986883ea8f9c9c03b260f755b60563cc42060
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2150,0.001,51.59343338012695,0.00015265181718859822,5.7674104027682915e-05,31.083084106445312,1.0,0.009508893825113773,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002150.pt,85584c3649a89eeed6f478df716e5965e3269255ddec3d71cd8c92edb2ced7b6,5d39b7174e095ae7d7c00670592fa0a92249f4a1d11221d4000db08b24e3ea06,3f0ff3f6d32d450c037a9dd6272db8d8320665aff98d43ff1f4840dcd10d009f
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2200,0.001,51.891239166259766,7.89077821536921e-05,3.424000533414073e-05,32.40045928955078,1.0,0.009508893825113773,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002200.pt,7b0f2ba46c577bea5b42c6215c35c78d840fc82622493f147aa67a9ae70677f1,e3b8320738833cbcb27437bfa62977239d8155e1d79ffbdedc69e8d2b9993981,80e12373a0bbc7b8c3161aad744e723c0959cbb99525ed1e3ba3649cb671f468
