analysis_run_id,workload,cell_id,checkpoint_index,checkpoint_step,fidelity_threshold,distinctness_cutoff,discovery_subset,grouping_tolerance,requested_member_index,accepted_circuit,restart_count,record_type,exact_evaluations_used,elapsed_seconds,included_in_deterministic_scientific_hashes
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00003400,1,3400,0.99,0.5,,,,,,cell,0,0.027646375121548772,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00007450,2,7450,0.99,0.5,,,,,,cell,0,0.0267019581515342,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008150,3,8150,0.99,0.5,,,,,,cell,0,0.02677012514322996,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008500,4,8500,0.99,0.5,,,,,,cell,0,0.026904875179752707,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00008650,5,8650,0.99,0.5,,,,,,cell,0,0.026717167114838958,False
stage14-random-label-analysis-s0-7b472aa5163a,global_family_transfer,global-family-transfer-step-00009050,6,9050,0.99,0.5,,,,,,cell,0,0.02661983296275139,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q1,0,200,0.99,,Q1,,,,,cell,1740,37.434252166887745,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q2,0,200,0.99,,Q2,,,,,cell,1486,31.755606290884316,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q3,0,200,0.99,,Q3,,,,,cell,1566,33.90098016685806,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00000200-q4,0,200,0.99,,Q4,,,,,cell,1407,30.1022580829449,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q1,1,3400,0.99,,Q1,,,,,cell,675,14.537895583780482,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q2,1,3400,0.99,,Q2,,,,,cell,707,15.105797334108502,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q3,1,3400,0.99,,Q3,,,,,cell,930,19.720802332973108,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00003400-q4,1,3400,0.99,,Q4,,,,,cell,739,15.514559417031705,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00007450-q1,2,7450,0.99,,Q1,,,,,cell,643,13.669566582888365,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00007450-q2,2,7450,0.99,,Q2,,,,,cell,659,14.00953770801425,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00007450-q3,2,7450,0.99,,Q3,,,,,cell,771,16.93147279182449,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00007450-q4,2,7450,0.99,,Q4,,,,,cell,516,10.679521542042494,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008150-q1,3,8150,0.99,,Q1,,,,,cell,707,15.088873000117019,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008150-q2,3,8150,0.99,,Q2,,,,,cell,755,16.072648458881304,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008150-q3,3,8150,0.99,,Q3,,,,,cell,675,14.384778625098988,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008150-q4,3,8150,0.99,,Q4,,,,,cell,723,15.070624541956931,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008500-q1,4,8500,0.99,,Q1,,,,,cell,516,11.810079250019044,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008500-q2,4,8500,0.99,,Q2,,,,,cell,516,11.339378708042204,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008500-q3,4,8500,0.99,,Q3,,,,,cell,675,14.167857457883656,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008500-q4,4,8500,0.99,,Q4,,,,,cell,516,10.60307729197666,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008650-q1,5,8650,0.99,,Q1,,,,,cell,803,16.810738916974515,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008650-q2,5,8650,0.99,,Q2,,,,,cell,771,16.497636415995657,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008650-q3,5,8650,0.99,,Q3,,,,,cell,659,14.409427334088832,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00008650-q4,5,8650,0.99,,Q4,,,,,cell,516,10.70285379095003,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00009050-q1,6,9050,0.99,,Q1,,,,,cell,547,11.420459625078365,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00009050-q2,6,9050,0.99,,Q2,,,,,cell,787,16.902633083984256,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00009050-q3,6,9050,0.99,,Q3,,,,,cell,516,10.75399100012146,False
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset-discovery-step-00009050-q4,6,9050,0.99,,Q4,,,,,cell,516,10.43025558302179,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00000200-tolerance-00250,0,200,,,,0.025,,,,cell,0,0.00017266697250306606,False
