cell_id,circuit_id,cross_entropy,evaluation_subset,fidelity,ground_truth_accuracy,jensen_shannon_divergence,kl_divergence,prediction_agreement_count,source_run_id,source_stage,subset_example_count,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f4of5-d1of2,C4,1.3969934167186755,Q1,0.8177900892582333,0.8174823022468451,0.3621609519238943,1.394943412979242,2657,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C4,1.3987844883146834,Q2,0.7973057644110275,0.7973057644110275,0.36363497337666023,1.3969988482362383,2545,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C4,1.3994249665717546,Q3,0.7969924812030075,0.7969924812030075,0.3637215489390911,1.3976442674863476,2544,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C4,1.3775666882964064,Q4,0.7885841836734694,0.7885841836734694,0.3562411831463782,1.3755202577220709,2473,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C5,1.484992356266323,Q1,0.8137888581101878,0.8134810710987996,0.37836237879577195,1.483008714009245,2644,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C5,1.5032178469966246,Q2,0.806704260651629,0.806704260651629,0.38331638559066505,1.501454647923388,2575,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C5,1.5035912293898768,Q3,0.8088972431077694,0.8088972431077694,0.38333552621099587,1.5018158290059047,2582,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C5,1.5127409852824971,Q4,0.8013392857142857,0.8013392857142857,0.38179285479804537,1.5107807221226108,2513,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C6,1.3819875794076744,Q1,0.8390273930440135,0.8387196060326254,0.35787015499030583,1.3798526543155014,2726,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C6,1.416911657980146,Q2,0.818922305764411,0.818922305764411,0.3656867934127728,1.4150562068665713,2614,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C6,1.4169801473640895,Q3,0.8173558897243107,0.8173558897243107,0.3656590801227796,1.4151364511461288,2609,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,C6,1.459640071022904,Q4,0.7860331632653061,0.7860331632653061,0.3694636594486002,1.4575283970310808,2465,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d3of4,C1,1.3851678558702962,Q1,0.7931671283471837,0.7928593413357956,0.35377166018654754,1.3828390059277769,2577,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C1,1.333979062595986,Q2,0.8032581453634086,0.8032581453634086,0.3475545185348509,1.3321944514229977,2564,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C1,1.3349036546885025,Q3,0.8032581453634086,0.8032581453634086,0.3476876015500644,1.3331161794511783,2564,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C1,1.2894822670518342,Q4,0.8220663265306123,0.8220663265306123,0.33513148063383946,1.287518967648348,2578,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C2,1.367021824021687,Q1,0.8054786088027085,0.8051708217913204,0.35448180013999836,1.3648314512598194,2617,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C2,1.3747411540296293,Q2,0.8236215538847118,0.8236215538847118,0.3588111416117538,1.3730538196489448,2629,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C2,1.3752082677991049,Q3,0.8239348370927319,0.8239348370927319,0.3588870444730681,1.3734944254932528,2630,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C2,1.4262539445774804,Q4,0.7758290816326531,0.7758290816326531,0.36367229897839526,1.4242023796523797,2433,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C3,1.471944561837572,Q1,0.809172052939366,0.8094798399507541,0.3753474888650637,1.4701639578163752,2629,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
