analysis_run_id,workload,record_type,cell_id,sequence_index,checkpoint_index,checkpoint_step,discovery_subset,evaluation_subset,circuit_id,source_member_index,search_status,retained_component_count,primary_fidelity,prediction_agreement_count,evaluated_example_count,exact_evaluations_used,grouping_tolerance_numerator,grouping_tolerance_denominator,grouping_tolerance,group_count,groups_json,pairwise_distances_json,scientifically_executed,raw_cell_directory
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008150-q2,44,3,8150,Q2,,,,valid_but_not_meaningfully_sparse,515,0.9909147869674185,3163,3192,755,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008150/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008150-q3,45,3,8150,Q3,,,,valid_but_not_meaningfully_sparse,515,0.9909147869674185,3163,3192,675,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008150/Q3
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008150-q4,46,3,8150,Q4,,,,valid_but_not_meaningfully_sparse,515,0.9904336734693877,3106,3136,723,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008150/Q4
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008500-q1,47,4,8500,Q1,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3249,3249,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008500/Q1
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008500-q2,48,4,8500,Q2,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3192,3192,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008500/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008500-q3,49,4,8500,Q3,,,,valid_but_not_meaningfully_sparse,515,0.9915413533834586,3165,3192,675,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008500/Q3
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008500-q4,50,4,8500,Q4,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3136,3136,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008500/Q4
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008650-q1,51,5,8650,Q1,,,,valid_but_not_meaningfully_sparse,515,0.9907663896583564,3219,3249,803,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008650/Q1
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008650-q2,52,5,8650,Q2,,,,valid_but_not_meaningfully_sparse,515,0.9912280701754386,3164,3192,771,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008650/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008650-q3,53,5,8650,Q3,,,,valid_but_not_meaningfully_sparse,515,0.9906015037593985,3162,3192,659,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008650/Q3
