phase_label,selection_status,phase_status,target_test_accuracy,achieved_train_accuracy,achieved_test_accuracy,absolute_target_error,train_loss,test_loss,training_step,checkpoint_path,checkpoint_sha256,run_id
pre-grokking,selected,formal,,1.0,0.0485512912273407,,0.02843901701271534,18.2559814453125,200,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00000200.pt,815265490d13d24a0d6d29eb99a900ee186f78cd0a63593de1a62af7ce710f7a,modular-addition-training-s1-5f1bc9dee7ab
10%,selected,formal,0.1,1.0,0.09978745132684708,0.00021254867315292914,0.00014679862943012267,17.46401023864746,3400,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00003400.pt,8edd5afa0fb7d6759405a0ddc86e1e107a2758ba62918597ceb89f590e0c2d71,modular-addition-training-s1-5f1bc9dee7ab
25%,selected,formal,0.25,1.0,0.25293657183647156,0.0029365718364715576,7.721770816715434e-05,8.109823226928711,7450,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00007450.pt,687672a1ad461fe4ce8f1e5d3da99e3bffc342199a19612ebdaaf8807ad222f0,modular-addition-training-s1-5f1bc9dee7ab
50%,selected,formal,0.5,1.0,0.4858485162258148,0.01415148377418518,0.00031825259793549776,3.8397655487060547,8150,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00008150.pt,94d77d3cfefba5700b9f1fcf6f393cc7a6f94e0447d55be1e8d6d786ce7d5810,modular-addition-training-s1-5f1bc9dee7ab
75%,selected,formal,0.75,1.0,0.7684304714202881,0.018430471420288086,0.0003959056339226663,0.8443329334259033,8500,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00008500.pt,a42529861e3ca64664b59a66eaf4f6b7fcbaca59a1d78befd8333083e3594a74,modular-addition-training-s1-5f1bc9dee7ab
90%,selected,formal,0.9,1.0,0.9156505465507507,0.01565054655075071,7.512327283620834e-05,0.2735099494457245,8650,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00008650.pt,60e539119c242ee1491e27bb2da381de6421475e6d0ded8d9b01113cb83cf5ac,modular-addition-training-s1-5f1bc9dee7ab
stable post-grokking,selected,formal,,1.0,0.9991050362586975,,1.168965241049591e-06,0.0027095251716673374,9050,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00009050.pt,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,modular-addition-training-s1-5f1bc9dee7ab
