stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_id,family_member_index,retained_heads,retained_neurons,retained_components,retained_proportion,fidelity,agreement_count,evaluated_example_count,threshold_pass,ground_truth_accuracy,cross_entropy,kl_divergence,jensen_shannon_divergence,local_single_deletion_minimality,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,mask_sha256,exact_evaluation_count,ranking_passes,selected_restart
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C4,4,4,78,82,0.15891472868217055,0.8010024277547184,10228,12769,True,0.8006891690813689,0.700731896300234,0.6973831803342008,0.1848516004288205,True,15,58,0.25862068965517243,0.20090223705351626,4b11f7f078e7c22afc5e2f03366a1af78d4826eb8a1725fe82c2115681c4d3ad,7058,435,0
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C5,5,4,67,71,0.1375968992248062,0.8007674837497063,10225,12769,True,0.8007674837497063,0.6856296069909487,0.6821331514896213,0.18194734999483295,True,28,107,0.2616822429906542,0.23373678753163227,d227a6888fa67226ec3f0db4af9f0b9d5ce4c44c545c6b024599136347eea5ab,7207,446,0
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C6,6,4,67,71,0.1375968992248062,0.8006891690813689,10224,12769,True,0.8003759104080195,0.697901523105029,0.6935521038558499,0.18637209527190532,True,31,104,0.2980769230769231,0.23565577159327158,f0067b1ba11abd3fcfa4b052d77893d3648ce2c3105c40c7b5ed5535f4c83187,7207,446,0
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C1,1,4,73,77,0.14922480620155038,0.8512021301589788,10869,12769,True,0.8508888714856293,0.4973451098711865,0.4937716457098281,0.1341619761603891,True,0,1,0.0,,3309027cc538ad67a7dc602b43a72f66c5f9e06269b322144766d1e09f437c3a,7101,440,0
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C2,2,4,78,82,0.15891472868217055,0.8504972981439424,10860,12769,True,0.8503406688072676,0.5546901152249172,0.5508507204359743,0.1507203174874973,True,20,139,0.14388489208633093,0.14388489208633093,1ce209177d8aeb50723ee6c2eaaccd8e3bb43714a6d36523d8d67feac624ace0,7154,435,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,1,4,73,77,0.14922480620155038,0.8512021301589788,10869,12769,True,0.8508888714856293,0.4973451098711865,0.4937716457098281,0.1341619761603891,True,0,1,0.0,,3309027cc538ad67a7dc602b43a72f66c5f9e06269b322144766d1e09f437c3a,7101,440,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,2,4,78,82,0.15891472868217055,0.8504972981439424,10860,12769,True,0.8503406688072676,0.5546901152249172,0.5508507204359743,0.1507203174874973,True,20,139,0.14388489208633093,0.14388489208633093,1ce209177d8aeb50723ee6c2eaaccd8e3bb43714a6d36523d8d67feac624ace0,7154,435,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,3,4,63,67,0.1298449612403101,0.8504972981439424,10860,12769,True,0.8506539274806171,0.5482940106722467,0.5447580243318099,0.15133367639914877,True,5,19,0.2631578947368421,0.21361019736842105,bf04f9c2243a262f16942e211f442bcd2ff507d839d44564dd2753591c8b9446,7315,450,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,4,4,67,71,0.1375968992248062,0.8512804448273161,10870,12769,True,0.8509671861539666,0.5709026650917917,0.5670807830321614,0.15537302910269124,True,8,29,0.27586206896551724,0.2375764451857311,7f87ca7f80455fc60d3235894da35eec35d3471ba40c1617c788bc11c7b26585,7207,446,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C5,5,4,68,72,0.13953488372093023,0.8502623541389303,10857,12769,True,0.850418983475605,0.5317727080960813,0.5284186299320248,0.1454077781935236,True,35,114,0.30701754385964913,0.2207655804075131,439c0776efa775d86fe8b3147d57882f137cede8cefb64970db1dcbb2ce7b1c4,7176,445,0
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C6,6,4,64,68,0.13178294573643412,0.8527684235257263,10889,12769,True,0.8526117941890516,0.5485621474652227,0.5448535325792652,0.1500998311416754,True,30,109,0.27522935779816515,0.24443454315169447,cbde2d9a3cc687e1a09b29d9febbfe9d6cbeda8a572763b75d7e33ad71c76226,7300,449,0
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,1,4,73,77,0.14922480620155038,0.8512021301589788,10869,12769,True,0.8508888714856293,0.4973451098711865,0.4937716457098281,0.1341619761603891,True,0,1,0.0,,3309027cc538ad67a7dc602b43a72f66c5f9e06269b322144766d1e09f437c3a,7101,440,0
