analysis_run_id,workload,cell_id,sequence_index,checkpoint_index,checkpoint_step,execution_mode,dependency_cell_id,fidelity_threshold_numerator,fidelity_threshold_denominator,fidelity_threshold,distinctness_cutoff_numerator,distinctness_cutoff_denominator,distinctness_cutoff,status,stopping_reason,family_size,family_target,right_censored,exact_evaluations_used,per_cell_budget,budget_remaining,restart_outcome_count,scientifically_rerun,raw_cell_directory,cell_summary_path,cell_summary_sha256
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08000,15,6,9050,execute,,4,5,0.8,1,2,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,1254,50000,48746,1,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-08000,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-08000/cell_summary.json,e43b70c282e09bf05f7d6191b76b0b0590cebebf54deda80608fedab52802196
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-08500,16,6,9050,execute,,17,20,0.85,1,2,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,930,50000,49070,1,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-08500,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-08500/cell_summary.json,26336de57a90887cf4d1bf617f966c427f92b30d147907c42a8715c0082dece6
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09000,17,6,9050,execute,,9,10,0.9,1,2,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,1132,50000,48868,1,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09000,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09000/cell_summary.json,c7349d4fe75372ced450534e9226578e9ab55f3ac188140d0087fc148e2551de
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09500,18,6,9050,execute,,19,20,0.95,1,2,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,546,50000,49454,1,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09500,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09500/cell_summary.json,afc6c1c521194fd5e879e9381901fd210c6e2165e152994c34a2a897fc658704
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09750,19,6,9050,execute,,39,40,0.975,1,2,0.5,sparsity_failure,requested_member_1_sparsity_failure,0,10,False,547,50000,49453,1,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09750,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/fidelity_sensitivity/fidelity-sensitivity-step-00009050-threshold-09750/cell_summary.json,9b67358d0700c9d2beb22a1b7b1cf59d82eb56c16d2f14044bfa0046a284fe7c
stage14-random-label-analysis-s0-7b472aa5163a,fidelity_sensitivity,fidelity-sensitivity-step-00009050-threshold-09900,20,6,9050,reference_primary,primary-family-step-00009050,99,100,0.99,1,2,0.5,no_feasible_candidate_discovered_within_tested_search,requested_member_1_no_feasible_candidate_discovered_within_tested_search,0,10,False,516,50000,49484,1,False,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00009050,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/primary_diversity/step_00009050/cell_summary.json,5e47a0218b38d4a4b26c0de0f7220a92d4330d4f507c118c60df27dc07ca96e3
