model_seed,checkpoint_step,cell_id,exact_evaluations_used,ranking_passes,restarts_attempted
0,9050,s0-step9050-f4of5-d1of4,32608,2030,5
0,9050,s0-step9050-f4of5-d1of2,50000,3113,7
0,9050,s0-step9050-f4of5-d3of4,50000,3113,7
0,9050,s0-step9050-f17of20-d1of4,39949,2486,6
0,9050,s0-step9050-f17of20-d1of2,50000,3112,7
0,9050,s0-step9050-f17of20-d3of4,50000,3112,7
0,9050,s0-step9050-f9of10-d1of4,50000,3109,7
0,9050,s0-step9050-f9of10-d1of2,50000,3109,7
0,9050,s0-step9050-f9of10-d3of4,50000,3109,7
0,9050,s0-step9050-f19of20-d1of4,39439,2452,6
0,9050,s0-step9050-f19of20-d1of2,50000,3108,7
0,9050,s0-step9050-f19of20-d3of4,50000,3108,7
0,9050,s0-step9050-f39of40-d1of4,50000,3104,7
0,9050,s0-step9050-f39of40-d1of2,50000,3104,7
0,9050,s0-step9050-f39of40-d3of4,50000,3104,7
0,9050,s0-step9050-f99of100-d1of4,45853,2841,7
0,9050,s0-step9050-f99of100-d1of2,50000,3100,7
0,9050,s0-step9050-f99of100-d3of4,50000,3100,7
1,200,s1-step200-f4of5-d1of4,1424,21,1
1,200,s1-step200-f4of5-d1of2,1424,21,1
1,200,s1-step200-f4of5-d3of4,1424,21,1
1,200,s1-step200-f17of20-d1of4,1416,13,1
1,200,s1-step200-f17of20-d1of2,1416,13,1
1,200,s1-step200-f17of20-d3of4,1416,13,1
1,200,s1-step200-f9of10-d1of4,1053,8,1
1,200,s1-step200-f9of10-d1of2,1053,8,1
1,200,s1-step200-f9of10-d3of4,1053,8,1
1,200,s1-step200-f19of20-d1of4,864,5,1
1,200,s1-step200-f19of20-d1of2,864,5,1
1,200,s1-step200-f19of20-d3of4,864,5,1
1,200,s1-step200-f39of40-d1of4,690,3,1
1,200,s1-step200-f39of40-d1of2,690,3,1
1,200,s1-step200-f39of40-d3of4,690,3,1
1,200,s1-step200-f99of100-d1of4,611,2,1
1,200,s1-step200-f99of100-d1of2,611,2,1
1,200,s1-step200-f99of100-d3of4,611,2,1
1,3400,s1-step3400-f4of5-d1of4,1476,33,1
1,3400,s1-step3400-f4of5-d1of2,1476,33,1
1,3400,s1-step3400-f4of5-d3of4,1476,33,1
1,3400,s1-step3400-f17of20-d1of4,756,17,1
1,3400,s1-step3400-f17of20-d1of2,756,17,1
1,3400,s1-step3400-f17of20-d3of4,756,17,1
1,3400,s1-step3400-f9of10-d1of4,1208,13,1
1,3400,s1-step3400-f9of10-d1of2,1208,13,1
