cell_id,cell_index,circuit_i,circuit_j,maximum_absolute_difference,maximum_distance_subset,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,same_primary_transfer_group,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f4of5-d1of4,37,C1,C2,0.04623724489795922,Q4,0.01231148045552477,0.02036340852130325,0.020676691729323293,0.04623724489795922,True,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of4,37,C1,C3,0.030612244897959218,Q4,0.01600492459218228,0.0,0.0025062656641603454,0.030612244897959218,True,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of4,37,C2,C3,0.02036340852130325,Q2,0.003693444136657509,0.02036340852130325,0.018170426065162948,0.015625,True,stage18-scaling-24a9adb84176,0,3,7450,37
s0-step7450-f4of5-d1of2,38,C1,C2,0.04623724489795922,Q4,0.01231148045552477,0.02036340852130325,0.020676691729323293,0.04623724489795922,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C1,C3,0.030612244897959218,Q4,0.01600492459218228,0.0,0.0025062656641603454,0.030612244897959218,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C1,C4,0.033482142857142905,Q4,0.02462296091104954,0.005952380952381042,0.006265664160401085,0.033482142857142905,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C1,C5,0.020727040816326592,Q4,0.020621729763004026,0.003446115288220475,0.005639097744360888,0.020727040816326592,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C1,C6,0.0458602646968298,Q1,0.0458602646968298,0.01566416040100249,0.014097744360902165,0.036033163265306145,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C2,C3,0.02036340852130325,Q2,0.003693444136657509,0.02036340852130325,0.018170426065162948,0.015625,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C2,C4,0.02694235588972438,Q3,0.01231148045552477,0.026315789473684292,0.02694235588972438,0.012755102040816313,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C2,C5,0.025510204081632626,Q4,0.008310249307479256,0.016917293233082775,0.015037593984962405,0.025510204081632626,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C2,C6,0.03354878424130503,Q1,0.03354878424130503,0.0046992481203007586,0.006578947368421129,0.010204081632653073,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C3,C4,0.00877192982456143,Q3,0.008618036318867262,0.005952380952381042,0.00877192982456143,0.002869897959183687,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C3,C5,0.009885204081632626,Q4,0.004616805170821747,0.003446115288220475,0.0031328320802005427,0.009885204081632626,True,stage18-scaling-24a9adb84176,0,3,7450,38
s0-step7450-f4of5-d1of2,38,C3,C6,0.02985534010464752,Q1,0.02985534010464752,0.01566416040100249,0.01159147869674182,0.0054209183673469274,True,stage18-scaling-24a9adb84176,0,3,7450,38
