cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
27,s0-step3400-f9of10-d3of4,1,C1,False,0,0.9003054272065157,508,,0,1,0.0,,684,684,9,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,27
28,s0-step3400-f19of20-d1of4,1,C1,False,0,0.9508183882841256,513,,0,1,0.0,,561,561,4,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,28
29,s0-step3400-f19of20-d1of2,1,C1,False,0,0.9508183882841256,513,,0,1,0.0,,561,561,4,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,29
30,s0-step3400-f19of20-d3of4,1,C1,False,0,0.9508183882841256,513,,0,1,0.0,,561,561,4,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,30
31,s0-step3400-f39of40-d1of4,1,C1,False,0,0.9751742501370507,514,,0,1,0.0,,738,738,3,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,31
32,s0-step3400-f39of40-d1of2,1,C1,False,0,0.9751742501370507,514,,0,1,0.0,,738,738,3,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,32
33,s0-step3400-f39of40-d3of4,1,C1,False,0,0.9751742501370507,514,,0,1,0.0,,738,738,3,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,33
34,s0-step3400-f99of100-d1of4,1,C1,False,0,0.9900540371211528,515,,0,1,0.0,,611,611,2,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,34
35,s0-step3400-f99of100-d1of2,1,C1,False,0,0.9900540371211528,515,,0,1,0.0,,611,611,2,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,35
36,s0-step3400-f99of100-d3of4,1,C1,False,0,0.9900540371211528,515,,0,1,0.0,,611,611,2,1,sparsity_failure,requested_member_1_sparsity_failure,False,fresh_execution,stage18-scaling-24a9adb84176,0,2,3400,36
37,s0-step7450-f4of5-d1of4,1,C1,True,0,0.8053097345132744,47,0.09108527131782945,0,1,0.0,,7551,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
37,s0-step7450-f4of5-d1of4,2,C2,True,0,0.8073459158900462,46,0.08914728682170543,10,83,0.12048192771084337,0.12048192771084337,15117,7566,471,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
37,s0-step7450-f4of5-d1of4,3,C3,True,0,0.8024904064531286,47,0.09108527131782945,9,38,0.23684210526315788,0.192495126705653,22668,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
