accepted_candidate,budget_exhausted,budget_remaining,candidate_batches_tested,cell_id,cell_index,distinctness_denominator,distinctness_numerator,exact_evaluation_budget,exact_evaluations_used,failure_detail,fidelity_denominator,fidelity_numerator,locally_single_deletion_minimal,maximum_pairwise_overlap,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap_numerator,meaningfully_sparse,outcome_status,primary_fidelity,ranking_passes_used,rejected_candidate_count,requested_member_index,restart_index,restart_used,retained_component_count,search_execution_mode,search_status,seed_integer,seed_sha256_digest,source_run_id,source_stage,stopping_reason,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
False,False,7214,175,s0-step3400-f4of5-d1of4,19,4,1,10000,2786,,5,4,True,0.0,1,0,False,sparsity_failure,0.8002975957396821,51,2736,1,0,True,466,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,19
False,False,7214,175,s0-step3400-f4of5-d1of2,20,2,1,10000,2786,,5,4,True,0.0,1,0,False,sparsity_failure,0.8002975957396821,51,2736,1,0,True,466,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,20
False,False,7214,175,s0-step3400-f4of5-d3of4,21,4,3,10000,2786,,5,4,True,0.0,1,0,False,sparsity_failure,0.8002975957396821,51,2736,1,0,True,466,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,21
False,False,8374,102,s0-step3400-f17of20-d1of4,22,4,1,10000,1626,,20,17,True,0.0,1,0,False,sparsity_failure,0.8500274101339181,27,1600,1,0,True,490,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,22
False,False,8374,102,s0-step3400-f17of20-d1of2,23,2,1,10000,1626,,20,17,True,0.0,1,0,False,sparsity_failure,0.8500274101339181,27,1600,1,0,True,490,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,23
False,False,8374,102,s0-step3400-f17of20-d3of4,24,4,3,10000,1626,,20,17,True,0.0,1,0,False,sparsity_failure,0.8500274101339181,27,1600,1,0,True,490,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,24
False,False,9316,43,s0-step3400-f9of10-d1of4,25,4,1,10000,684,,10,9,True,0.0,1,0,False,sparsity_failure,0.9003054272065157,9,676,1,0,True,508,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,25
False,False,9316,43,s0-step3400-f9of10-d1of2,26,2,1,10000,684,,10,9,True,0.0,1,0,False,sparsity_failure,0.9003054272065157,9,676,1,0,True,508,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,26
False,False,9316,43,s0-step3400-f9of10-d3of4,27,4,3,10000,684,,10,9,True,0.0,1,0,False,sparsity_failure,0.9003054272065157,9,676,1,0,True,508,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,27
False,False,9439,36,s0-step3400-f19of20-d1of4,28,4,1,10000,561,,20,19,True,0.0,1,0,False,sparsity_failure,0.9508183882841256,4,558,1,0,True,513,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,28
False,False,9439,36,s0-step3400-f19of20-d1of2,29,2,1,10000,561,,20,19,True,0.0,1,0,False,sparsity_failure,0.9508183882841256,4,558,1,0,True,513,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,29
