cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C2,C4,2,4,14,80,7,40,0.175,0.825,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C2,C5,2,5,17,76,17,76,0.2236842105263158,0.7763157894736842,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C2,C6,2,6,14,81,14,81,0.1728395061728395,0.8271604938271605,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C3,C4,3,4,18,77,18,77,0.23376623376623376,0.7662337662337663,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C3,C5,3,5,18,76,9,38,0.23684210526315788,0.7631578947368421,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C3,C6,3,6,19,77,19,77,0.24675324675324675,0.7532467532467533,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C4,C5,4,5,22,73,22,73,0.3013698630136986,0.6986301369863014,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C4,C6,4,6,15,82,15,82,0.18292682926829268,0.8170731707317074,True,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,fresh_execution,,,C5,C6,5,6,19,77,19,77,0.24675324675324675,0.7532467532467533,True,stage18-scaling-24a9adb84176,0,3,7450,39
40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C1,C2,1,2,12,89,12,89,0.1348314606741573,0.8651685393258427,True,stage18-scaling-24a9adb84176,0,3,7450,40
40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C1,C3,1,3,19,79,19,79,0.24050632911392406,0.759493670886076,True,stage18-scaling-24a9adb84176,0,3,7450,40
40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,fresh_execution,,,C2,C3,2,3,15,84,5,28,0.17857142857142858,0.8214285714285714,True,stage18-scaling-24a9adb84176,0,3,7450,40
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C2,1,2,12,89,12,89,0.1348314606741573,0.8651685393258427,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C3,1,3,19,79,19,79,0.24050632911392406,0.759493670886076,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C4,1,4,24,78,4,13,0.3076923076923077,0.6923076923076923,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C5,1,5,26,78,1,3,0.3333333333333333,0.6666666666666667,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C1,C6,1,6,23,76,23,76,0.3026315789473684,0.6973684210526316,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C3,2,3,15,84,5,28,0.17857142857142858,0.8214285714285714,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C4,2,4,17,86,17,86,0.19767441860465115,0.8023255813953488,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C5,2,5,22,83,22,83,0.26506024096385544,0.7349397590361446,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C6,2,6,17,83,17,83,0.20481927710843373,0.7951807228915663,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C4,3,4,17,83,17,83,0.20481927710843373,0.7951807228915663,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C5,3,5,21,81,7,27,0.25925925925925924,0.7407407407407407,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C6,3,6,19,78,19,78,0.24358974358974358,0.7564102564102564,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,C5,4,5,22,84,11,42,0.2619047619047619,0.7380952380952381,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,C6,4,6,18,83,18,83,0.21686746987951808,0.7831325301204819,True,stage18-scaling-24a9adb84176,0,3,7450,41
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C5,C6,5,6,22,81,22,81,0.2716049382716049,0.7283950617283951,True,stage18-scaling-24a9adb84176,0,3,7450,41
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C2,1,2,12,89,12,89,0.1348314606741573,0.8651685393258427,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C3,1,3,19,79,19,79,0.24050632911392406,0.759493670886076,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C4,1,4,24,78,4,13,0.3076923076923077,0.6923076923076923,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C5,1,5,26,78,1,3,0.3333333333333333,0.6666666666666667,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C6,1,6,23,76,23,76,0.3026315789473684,0.6973684210526316,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C3,2,3,15,84,5,28,0.17857142857142858,0.8214285714285714,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C4,2,4,17,86,17,86,0.19767441860465115,0.8023255813953488,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C5,2,5,22,83,22,83,0.26506024096385544,0.7349397590361446,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C6,2,6,17,83,17,83,0.20481927710843373,0.7951807228915663,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C4,3,4,17,83,17,83,0.20481927710843373,0.7951807228915663,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C5,3,5,21,81,7,27,0.25925925925925924,0.7407407407407407,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C6,3,6,19,78,19,78,0.24358974358974358,0.7564102564102564,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,C5,4,5,22,84,11,42,0.2619047619047619,0.7380952380952381,True,stage18-scaling-24a9adb84176,0,3,7450,42
